job_title,senior,company_name,location,employment_type,industry,company_type,company_size,hourly,daily,weekly,monthly,yearly,python,sql,excel,r,power_bi,tableau,job_description,salary
Business Analyst,0,Castleross Construction Pty Ltd,,,,,,0,0,0,0,1,0,0,0,0,0,0,"About Us:
Our reputation for delivering quality projects across Australia and New Zealand is not something we take for granted. Instead, it is a source of pride for us, built on our unwavering commitment to providing high quality construction services that stand the test of time.
Specialising in large-scale civil projects as well as on-site precast solutions. Our comprehensive services include formwork, reinforcing and concrete requirements as well as complete project management.
Job Summary:
Due to ongoing growth with new projects in the pipeline, we are seeking an experienced Business Analyst (ICT) with strong technical skills to join our team to help us shape the future of construction technology. As a Business Analyst at Castleross, you will play a pivotal role in driving the development and implementation of software solutions. You will work closely with stakeholders to analyse business requirements, design systems, and streamline operations.",85000.0
Other,1,Atlassian,NSW,,Technology,Public,5001 - 10000,0,0,0,0,1,0,0,0,0,0,0,"Overview:
Working at Atlassian
As a Senior Software Engineer in the Central AI team, you will build and maintain the core infrastructure to allow machine learning engineers and data scientists to develop, train, evaluate, deploy, and operate Machine Learning models and pipelines. You will use your software development expertise to solve difficult problems, tackling complex infrastructure and architecture challenges.
You will have the opportunity to lead other engineers to drive involved projects from technical design to launch. You will also collaborate with other teams and internal customers to set expectations, gather input and communicate results.
Responsibilities:
Your future team
Qualifications:",210000.0
Data Engineer,0,InterWorks,WA,,Technology,Private,201 - 500,0,0,0,0,1,0,1,0,0,0,0,"Do you want a job that looks different every day? Have you got an unquenchable passion for data and problem solving? Are you aching to jump into a work environment where you will work with some of the keenest minds in the industry? We've got a career you will enjoy!
At InterWorks, we like our work with a hefty side of play. Our team of high achievers is looking for an eager learner who doesn't shy away from hard work. We need someone whose overall data and programming savvy outweighs niche experience with a certain database platform. Whether you've worked primarily in SQL Server, Postgres or a more modern cloud based warehouse, all we really care about is that you have a strong understanding of building data pipelines and are ready to learn something new, and then continue to learn each and every single day. It also wouldn't hurt for you to be wicked smart and make one heck of a coworker, but we're pretty sure you've got that covered already. Otherwise, you wouldn't still be reading.",146500.0
Other,1,Cathay Pacific,,,,,,0,0,0,0,1,0,0,0,0,0,0,"Strategic Focus
Partner with Global Sales, Revenue Management, Sales and Distribution, and Planning to set and achieve strategies and targets
Manage the data for the region to strongly support the commercial strategy and pricing strategy
Formulate strategies that convert into effective and high yield local initiatives that are achievable across diversified channels and segments
Be actively involved in formulating and ensuring the achievement of the GSA strategy for the region
Conduct regular reviews of each country’s action plan and make corrective adjustments as required to ensure achievement of all targets
Maintain awareness of the competitive environment and our inventory ability as well as focus on analytics and business data to support setting of viable sales strategies",153500.0
Data Analyst,0,The Australian Indigenous HealthInfoNet,,,,,,1,0,0,0,0,0,0,0,0,0,0,"The Australian Indigenous HealthInfoNet is dedicated to improving Indigenous health outcomes through the collection, analysis, and dissemination of valuable health information. We are seeking a skilled Data Analyst to join our remote team and contribute to our mission of enhancing health knowledge and resources for Indigenous communities.
Responsibilities:
Analyze large datasets to identify trends, patterns, and insights related to Indigenous health.
Develop and maintain data models and dashboards to support decision-making and reporting.
Collaborate with researchers and stakeholders to understand data needs and provide actionable insights.
Ensure data integrity and accuracy through rigorous validation and quality control processes.
Prepare detailed reports and visualizations to communicate findings effectively to various audiences.",73645.52
Other,1,Atlassian,NSW,,Technology,Public,5001 - 10000,0,0,0,0,1,0,0,0,0,0,0,"Overview:
Atlassian is looking for a talented Principal Machine Learning Engineer to join one of our Sydney engineering teams in Jira Cloud called “Jira AI“. Our team is responsible for shaping the future of workflow collaboration in Jira with AI. As an Engineer well into your career, we know you're an expert at what you do and have a breadth of experience in AI and Machine Learning which will lead us towards delivering great value to our customers. You take pride in being someone who more junior members look up to and sharing your expertise with others... That's why we're placing a heavy emphasis on leaning on your expertise to take on a high level of responsibility while being a role model and mentor to others on the team.
Responsibilities:
As a Principal Machine Learning engineer, you will drive the development and implementation of cutting-edge machine learning algorithms and training sophisticated models, as well as collaborate with our cross-functional team to build the new AI functionalities into Jira. Your daily responsibilities will encompass a broad spectrum of tasks, such as designing system and model architectures, conducting rigorous experimentation and model evaluations, providing guidance to emerging ML engineers and upskilling the team in ML. Your role is pivotal, stretching beyond these tasks to ensure AI's transformative potential unleashes even more potential from team collaboration through Jira.
Qualifications:",168000.0
Data Analyst,0,COMFORT IN PTY LTD,,,,,,1,0,0,0,0,0,0,0,0,0,0,"Comfort In Pty Ltd is a leading provider of comfort and well-being solutions, specializing in home automation. We are committed to delivering high-quality services and innovative solutions to enhance our clients' comfort and satisfaction.
We are seeking a motivated and detail-oriented Junior Data Analyst to join our team. The ideal candidate will assist in analyzing and interpreting data to support business decisions and improve operational efficiency. This entry-level position offers a great opportunity to grow your career in data analytics within a dynamic company.
Key Responsibilities:
Collect, clean, and organize data from various sources.
Assist in performing data analysis to identify trends, patterns, and insights.
Generate reports and visualizations to support business objectives.",73902.4
Data Analyst,0,South Metropolitan Health Service,,,,,,0,0,0,0,1,0,0,1,0,0,0,"This is where jobs become careers, passion finds its purpose, and your voice finds its place. Are you ready to dive headfirst into the community taking excellent health care where it's needed? Then South Metropolitan Health Service is the perfect place to start!
SMHS delivers quality, safe and effective hospital and health services within a catchment area stretching more than 3300 square kilometres across the southern half of Perth.
Our vision is Excellent health care, every time. You can read more about SMHS in our Strategic Plan . Visit https://smhs.health.wa.gov.au/About-Us/Strategic-focus/Strategic-plan
Currently we are seeking a Systems Developer to join the Transformation team at SMHS. This role provides input towards a vision that underlies the projected solution and transforms that vision through execution into the solution and provides input towards the development of policies, strategies and best practices that support the delivery of robust technical application solutions in an innovative, efficient and effective manner.",115500.0
Data Analyst,0,Rainforest Plants of Australia,,,,,,1,0,0,0,0,0,0,0,0,0,0,"Rainforest Plants of Australia is a dedicated not-for-profit organization focused on the conservation and promotion of Australia’s unique rainforest flora. Our mission is to protect and restore vital rainforest ecosystems through research, education, and community involvement. Join us in our commitment to preserving these irreplaceable environments for future generations.
Job Overview: We are seeking a skilled Online Data Analyst to join our team. This role involves analyzing data related to conservation projects, research initiatives, and community outreach programs. The ideal candidate will have strong analytical skills, experience with data visualization tools, and a passion for environmental conservation.
Responsibilities:
Collect, process, and analyze data from various sources related to rainforest conservation and research.",77597.52
Business Analyst,0,ETM Group Holdings Pty Ltd,NSW,,,,,0,0,0,0,1,0,0,0,0,0,0,"ETM Group Holdings is currently searching for a firstrate Business Analyst to work ourAlexandria, Sydney.
The successful candidate must have a highly relevant Bachelor degree & at least two years full time experience. Experience in the construction industry will be preferred. Duties of the positions are:
Crafting and documenting a business strategy to both improve the level of customer service to its clients and to improve the quality of the service offered.
Developing and interpreting and analysing client feedback including tracking and monitoring client satisfaction.
Reviewing current communication and interactions between different departments and locations.
Organising weekly meetings with directors, management staff to discuss any operational issues with company operations.
Gathering and organising the information about the business issues or problematic procedures and providing best solutions to overcome these business issues.",90000.0
Data Analyst,0,QUALITY SEO,,,,,,1,0,0,0,0,0,0,0,0,0,0,"Quality SEO is a leading digital marketing agency specializing in search engine optimization (SEO) and online visibility. We help businesses enhance their online presence through data-driven strategies and innovative digital marketing solutions. Our team is dedicated to delivering exceptional results and driving growth for our clients.
Position Overview: We are seeking a detail-oriented and analytical Online Data Analyst to join our remote team. The ideal candidate will have a strong background in data analysis, with a focus on SEO metrics and performance. This role involves analyzing data to provide actionable insights and support our SEO strategies to improve client outcomes.
Key Responsibilities:
Analyze SEO performance data, including website traffic, keyword rankings, and conversion metrics.",79237.6
Data Engineer,0,Simplyai,NSW,,,,,0,0,0,0,1,0,0,0,0,0,0,"We are a successful professional services consultancy looking for an experienced Data Engineer to join our team. You will work with analytics and data management applications to modernise how they interact with data from multiple sources to deliver specific business outcomes for our clients.
You will work with internal teams and client teams to deliver successful outcomes for our clients. Duties will include:
Researching, consulting, analysing and evaluating system program needs
Identifying technology limitations and deficiencies in existing systems and associated processes, procedures and methods
Testing, debugging, diagnosing and correcting errors and faults in an applications programming language within established testing protocols, guidelines and quality standards to ensure programs and applications perform to specification",130000.0
Data Engineer,0,Xero,VIC,,Technology,Public,1001 - 5000,0,0,0,0,1,0,0,0,0,0,0,"Xero is a beautiful, easy-to-use platform that helps small businesses and their accounting and bookkeeping advisors grow and thrive.

At Xero, our purpose is to make life better for people in small business, their advisors, and communities around the world. This purpose sits at the centre of everything we do. We support our people to do the best work of their lives so that they can help small businesses succeed through better tools, information and connections. Because when they succeed they make a difference, and when millions of small businesses are making a difference, the world is a more beautiful place.

Our team

The Data team at Xero plays a pivotal role in fostering a culture of collaborative, data-driven decision-making, impacting not only our internal teams but also our diverse, global community of small business owners, bookkeepers, and accountants. Our work involves crafting, overseeing, and delivering a broad spectrum of data services. These range from essential reporting and key data sets to advanced, scalable solutions in analytical data processing, storage, machine learning, and API-driven predictive services.",140000.0
Data Analyst,0,International Institute of Data & Analytics,,,,University,1 - 50,,,,,,0,0,1,0,0,0,"The International Institute of Data & Analytics (IDA) is a not-for-profit hi-tech organization with foci on data science and big data analytics innovation, education and training, and commercialization and services. IDA offers unique experiences and engagement models for bridging the gaps between academia and business, enabling industry and government `easy to do business with’ leading scientists and specialists in data & analytics, and building a platform for engagements and collaborations between outstanding researchers, practitioners and educators.
In data science and big data analytics, the IDA creates enablers for:
Leading the field of data science and analytics innovation, training and services by building think-tank and thought leadership, and next-generation of data scientists and professionals;
transforming excellent research and innovation outcomes to actionable data science and analytics systems, tools, services and training for industry innovation and transformation; and",
Data Engineer,0,Cygnus Consulting Pty Ltd,VIC,,,,,0,0,0,0,1,0,1,0,0,0,0,"Job Title: Data Engineer
Location: Melbourne, Victoria, Australia
Salary – 95K + Super
Job Description:
We are seeking a highly skilled and experienced Data Engineer to join our dynamic team. This role is pivotal in designing, implementing, and managing our data architecture using Snowflake. The ideal candidate will have a strong background in SQL, Snowflake, and DBT, coupled with a deep understanding of security best practices.
Responsibilities:
Data Management and Development: Design, build, and optimize data pipelines using Snowflake. Develop and maintain scalable and robust data architectures.",95000.0
