,Job Title,Company Name,Location,Work Model,Employment Type,Industry,Company Type,Company Size,Job Description,Salary
0,Business Analyst (ICT),Castleross Construction Pty Ltd,Mt Lawley,missing,Missing,missing,missing,missing,"About Us:
Our reputation for delivering quality projects across Australia and New Zealand is not something we take for granted. Instead, it is a source of pride for us, built on our unwavering commitment to providing high quality construction services that stand the test of time.
Specialising in large-scale civil projects as well as on-site precast solutions. Our comprehensive services include formwork, reinforcing and concrete requirements as well as complete project management.
Job Summary:
Due to ongoing growth with new projects in the pipeline, we are seeking an experienced Business Analyst (ICT) with strong technical skills to join our team to help us shape the future of construction technology. As a Business Analyst at Castleross, you will play a pivotal role in driving the development and implementation of software solutions. You will work closely with stakeholders to analyse business requirements, design systems, and streamline operations.",$75K – $95K/yr (Employer est.)
1,Principal Machine Learning Systems Engineer,Atlassian,Sydney,missing,Missing,Information Technology,Company - Public,5001 to 10000 Employees,"Overview:
Working at Atlassian
As a Senior Software Engineer in the Central AI team, you will build and maintain the core infrastructure to allow machine learning engineers and data scientists to develop, train, evaluate, deploy, and operate Machine Learning models and pipelines. You will use your software development expertise to solve difficult problems, tackling complex infrastructure and architecture challenges.
You will have the opportunity to lead other engineers to drive involved projects from technical design to launch. You will also collaborate with other teams and internal customers to set expectations, gather input and communicate results.
Responsibilities:
Your future team
Qualifications:",$200K – $220K/yr (Glassdoor est.)
2,Data Engineer,InterWorks,Perth,missing,Missing,Information Technology,Company - Private,201 to 500 Employees,"Do you want a job that looks different every day? Have you got an unquenchable passion for data and problem solving? Are you aching to jump into a work environment where you will work with some of the keenest minds in the industry? We've got a career you will enjoy!
At InterWorks, we like our work with a hefty side of play. Our team of high achievers is looking for an eager learner who doesn't shy away from hard work. We need someone whose overall data and programming savvy outweighs niche experience with a certain database platform. Whether you've worked primarily in SQL Server, Postgres or a more modern cloud based warehouse, all we really care about is that you have a strong understanding of building data pipelines and are ready to learn something new, and then continue to learn each and every single day. It also wouldn't hurt for you to be wicked smart and make one heck of a coworker, but we're pretty sure you've got that covered already. Otherwise, you wouldn't still be reading.",$124K – $169K/yr (Glassdoor est.)
3,"Head of Business Insights & Analytics, Southwest Pacific",Cathay Pacific,Australia,missing,Missing,missing,missing,missing,"Strategic Focus
Partner with Global Sales, Revenue Management, Sales and Distribution, and Planning to set and achieve strategies and targets
Manage the data for the region to strongly support the commercial strategy and pricing strategy
Formulate strategies that convert into effective and high yield local initiatives that are achievable across diversified channels and segments
Be actively involved in formulating and ensuring the achievement of the GSA strategy for the region
Conduct regular reviews of each country’s action plan and make corrective adjustments as required to ensure achievement of all targets
Maintain awareness of the competitive environment and our inventory ability as well as focus on analytics and business data to support setting of viable sales strategies",$107K – $200K/yr (Employer est.)
4,Data Analyst,The Australian Indigenous HealthInfoNet,Mt Lawley,missing,Missing,missing,missing,missing,"The Australian Indigenous HealthInfoNet is dedicated to improving Indigenous health outcomes through the collection, analysis, and dissemination of valuable health information. We are seeking a skilled Data Analyst to join our remote team and contribute to our mission of enhancing health knowledge and resources for Indigenous communities.
Responsibilities:
Analyze large datasets to identify trends, patterns, and insights related to Indigenous health.
Develop and maintain data models and dashboards to support decision-making and reporting.
Collaborate with researchers and stakeholders to understand data needs and provide actionable insights.
Ensure data integrity and accuracy through rigorous validation and quality control processes.
Prepare detailed reports and visualizations to communicate findings effectively to various audiences.",$37.27/hr (Employer est.)
5,Data Designer / Architect,EXPERION TECHNOLOGIES AUSTRALIA PTY LTD,Hawthorn East,missing,Missing,missing,missing,missing,"Responsibilities:
Architect Integration Solutions:
Design end-to-end integration solutions that align with business requirements and strategic goals.
Collaborate with cross-functional teams to gather and analyse data and integration requirements.
Data and Analytics (D&A):
Leverage experience in Data and Analytics to design scalable and efficient data integration processes.
Ensure data quality, integrity, and security in all integration solutions.
Technology Expertise:",$110K – $120K/yr (Employer est.)
6,Virtual assistants database Pool,Virtual Assistants Sydney,Sydney,missing,Missing,missing,missing,missing,"Hello there,
We are new agency for providing Virtual assistants in Sydney.
We are currently building a talent pool for upcoming opportunities within our organization. By joining this pool, you'll be among the first to be considered when new positions become available. It's a great way to express your interest and stay on our radar for future openings that match your skills and experience.
Please note that joining this talent pool does not guarantee a job offer. However, it allows us to stay connected and reach out to you when a suitable opportunity arises.
If you're interested in being part of this talent pool, we encourage you to submit your details. We look forward to potentially working together in the future!
This message communicates the purpose of the talent pool while setting clear expectations.
Job Types: Full-time, Part-time, Subcontract, Casual, Freelance",$25.00 – $40.00/hr (Employer est.)
7,Principal Machine Learning Engineer - JIRA AI,Atlassian,Sydney,missing,Missing,Information Technology,Company - Public,5001 to 10000 Employees,"Overview:
Atlassian is looking for a talented Principal Machine Learning Engineer to join one of our Sydney engineering teams in Jira Cloud called “Jira AI“. Our team is responsible for shaping the future of workflow collaboration in Jira with AI. As an Engineer well into your career, we know you're an expert at what you do and have a breadth of experience in AI and Machine Learning which will lead us towards delivering great value to our customers. You take pride in being someone who more junior members look up to and sharing your expertise with others... That's why we're placing a heavy emphasis on leaning on your expertise to take on a high level of responsibility while being a role model and mentor to others on the team.
Responsibilities:
As a Principal Machine Learning engineer, you will drive the development and implementation of cutting-edge machine learning algorithms and training sophisticated models, as well as collaborate with our cross-functional team to build the new AI functionalities into Jira. Your daily responsibilities will encompass a broad spectrum of tasks, such as designing system and model architectures, conducting rigorous experimentation and model evaluations, providing guidance to emerging ML engineers and upskilling the team in ML. Your role is pivotal, stretching beyond these tasks to ensure AI's transformative potential unleashes even more potential from team collaboration through Jira.
Qualifications:",$151K – $185K/yr (Glassdoor est.)
8,Quant Trader Developer (Graduate Role),Tibra Global Services Pty Ltd,New South Wales,missing,Missing,Finance,Company - Private,51 to 200 Employees,"The QTD Accelerator Program is open to recent University graduates, applicants with up to 5 years' prior experience in quantitative trading or a similar field, and post-doctoral academics looking to transition into quant trading. The program is based in Austinmer, NSW, Australia.
Vacancies are open for September 2025 commencement.
Start dates are dependent on graduation date + lengthy visa processing times for international applicants. Our recruitment team will provide an indication during the process.
At Tibra, you will develop real world trading systems and apply quantitative financial methods to the most competitive financial markets in the world.
Our Accelerator Program offers a unique opportunity to experience first-hand the development of cutting-edge proprietary trading systems. You will be mentored by Tibra's best Quants and Developers, and your training will balance fundamental development, financial market theory and on-the-job training and mentoring. You will contribute to the evolution of the Tibra's trading strategies, while building the software development skills and market insights needed for your success as a Quant Trader Developer.",$150K/yr (Employer est.)
9,Team Administrator,URBIS,Brisbane,missing,Missing,Management and consulting,Company - Private,501 to 1000 Employees,"Who we are:
Urbis is people focussed, and we want the best for our team, our clients, and our communities. Our mission is about helping people create meaningful, sustainable cities & communities. We are a community of passionate problem solvers, sought out by clients for our fresh thinking and approach to their city-shaping projects. Here you will make a tangible difference and positive impact, while gaining incredible industry experience and broad ranging exposure to the most exciting work.
We pride ourselves in empowering our employees and supporting them to be the best they can be. You will have the benefits of salary continuance insurance, generous parental leave policy for both primary & secondary carers, work life balance, health & wellbeing programs and much more.
Urbis is an employer of choice for gender equality (EOCGE), recognised through the Workplace Gender Equality Agency (WGEA).
Urbis shaping Futures your way!


We have an exciting opportunity for a self-motivated administrator to join our Planning team within and become an integral part of our close-knit, high performing and collaborative team.
You will have the right combination of talent, energy, and a commitment to excellence, to provide high quality support to the Planning team. You will have the ability to deliver outstanding secretarial, word processing and administrative support, achieved through exceptional personal organisation, attention to detail, and time management. You will also play a significant role in the support of Urbis' practice management system, BST.



Why Urbis?
Urbis is committed to fostering a work environment that is inclusive, supports flexibility, and welcomes diversity. We are proud to be an equal opportunity employer. Aboriginal and Torres Strait Islander people are encouraged to apply.
Urbis is an employer of choice for gender equality (EOCGE), recognised through the Workplace Gender Equality Agency (WGEA). The WGEA citation is designed to formally encourage, recognise and promote active commitment to achieving gender equality in Australian workplaces. This citation is the gold standard certification for employers who are committed to making positive, measurable improvements towards gender equality and only held by 129 organisations nationally.

How to Apply?
Are you ready to start your journey with some of the brightest minds in the industry and you are passionate about making a difference to our clients, community, and team? Click on “Apply for this job.” Or email us at careers@urbis.com.au if you have any questions.
Recruitment Agencies - thank you for thinking of us. We do endeavour to fill our opportunities through direct channels wherever possible, however, if we find that we do need agency assistance, we'll be in touch.",$70K – $80K/yr (Employer est.)
