,Job Title,Company Name,Location,Work Model,Employment Type,Industry,Company Type,Company Size,Job Description,Salary
0,Data Analyst,The Australian Indigenous HealthInfoNet,Mount Lawley WA 6050•Hybrid work,missing,- Full-time,missing,missing,missing,"The Australian Indigenous HealthInfoNet is dedicated to improving Indigenous health outcomes through the collection, analysis, and dissemination of valuable health information. We are seeking a skilled Data Analyst to join our remote team and contribute to our mission of enhancing health knowledge and resources for Indigenous communities.
Responsibilities:
Analyze large datasets to identify trends, patterns, and insights related to Indigenous health.
Develop and maintain data models and dashboards to support decision-making and reporting.
Collaborate with researchers and stakeholders to understand data needs and provide actionable insights.
Ensure data integrity and accuracy through rigorous validation and quality control processes.
Prepare detailed reports and visualizations to communicate findings effectively to various audiences.
Stay updated with the latest trends and technologies in data analysis and apply best practices.
Requirements:
Proven experience as a Data Analyst or similar role, preferably with a focus on health or social data.
Proficiency in data analysis tools and software such as Excel, SQL, R, or Python.
Strong analytical skills with the ability to interpret complex data and generate meaningful insights.
Experience with data visualization tools like Tableau or Power BI is a plus.
Excellent communication skills, with the ability to present data-driven findings clearly and concisely.
Strong organizational skills and attention to detail.
Ability to work independently and manage time effectively in a remote work environment.
Knowledge or experience related to Indigenous health issues is highly desirable.
Benefits:
Flexible remote working arrangement.
Competitive salary based on experience.
Opportunity to make a significant impact on Indigenous health outcomes.
Supportive and collaborative team environment.
Job Type: Full-time
Pay: $37.27 per hour
Expected hours: 40 per week
Benefits:
Dental insurance
Health insurance
Vision insurance
Work from home
Schedule:
Monday to Friday
Work Authorisation:
Australia (Preferred)
Work Location: Hybrid remote in Mt Lawley, WA 6050",$37.27 an hour
1,Online Data Analyst,QUALITY SEO,Remote,missing,- Full-time,missing,missing,missing,"Quality SEO is a leading digital marketing agency specializing in search engine optimization (SEO) and online visibility. We help businesses enhance their online presence through data-driven strategies and innovative digital marketing solutions. Our team is dedicated to delivering exceptional results and driving growth for our clients.
Position Overview: We are seeking a detail-oriented and analytical Online Data Analyst to join our remote team. The ideal candidate will have a strong background in data analysis, with a focus on SEO metrics and performance. This role involves analyzing data to provide actionable insights and support our SEO strategies to improve client outcomes.
Key Responsibilities:
Analyze SEO performance data, including website traffic, keyword rankings, and conversion metrics.
Generate detailed reports and visualizations to communicate findings and recommendations.
Monitor and interpret data trends to inform SEO strategy and decision-making.
Collaborate with SEO specialists and digital marketers to optimize campaigns and improve performance.
Conduct competitor analysis to benchmark SEO performance and identify opportunities.
Utilize tools such as Google Analytics, SEMrush, Ahrefs, and other data analysis software.
Develop and maintain dashboards to track key performance indicators (KPIs).
Provide insights on website user behavior and engagement to enhance user experience.
Qualifications:
Bachelor’s degree in Data Analytics, Statistics, Marketing, or a related field.
Proven experience as a Data Analyst, preferably with a focus on SEO or digital marketing.
Strong proficiency in data analysis tools and software (e.g., Google Analytics, Excel, SQL).
Familiarity with SEO tools and metrics (e.g., SEMrush, Ahrefs, Moz).
Excellent analytical and problem-solving skills.
Ability to interpret complex data and present it in a clear and actionable manner.
Strong attention to detail and accuracy.
Effective communication skills and the ability to work independently in a remote environment.
Experience with data visualization tools (e.g., Tableau, Power BI) is a plus.
What We Offer:
Competitive salary.
Flexible remote work environment.
Opportunities for professional growth and career advancement.
A collaborative and innovative team culture.
Access to cutting-edge tools and technology.
Job Type: Full-time
Pay: $40.10 per hour
Expected hours: 40 per week
Work Location: Remote",$40.10 an hour
2,Online Data Analyst,Rainforest Plants of Australia,Stafford Heights QLD 4053•Hybrid work,missing,- Full-time,missing,missing,missing,"Rainforest Plants of Australia is a dedicated not-for-profit organization focused on the conservation and promotion of Australia’s unique rainforest flora. Our mission is to protect and restore vital rainforest ecosystems through research, education, and community involvement. Join us in our commitment to preserving these irreplaceable environments for future generations.
Job Overview: We are seeking a skilled Online Data Analyst to join our team. This role involves analyzing data related to conservation projects, research initiatives, and community outreach programs. The ideal candidate will have strong analytical skills, experience with data visualization tools, and a passion for environmental conservation.
Responsibilities:
Collect, process, and analyze data from various sources related to rainforest conservation and research.
Develop and maintain databases and data management systems.
Create detailed reports and visualizations to communicate findings and insights to stakeholders.
Collaborate with research teams to design data collection methods and metrics.
Identify trends, patterns, and anomalies in data to support strategic decision-making.
Ensure data accuracy and integrity while maintaining confidentiality.
Requirements:
Proven experience as a Data Analyst or similar role, preferably in an environmental or non-profit setting.
Proficiency in data analysis tools and software (e.g., Excel, R, Python, SQL).
Experience with data visualization tools (e.g., Tableau, Power BI).
Strong analytical and problem-solving skills.
Excellent communication skills, with the ability to present complex data in a clear and concise manner.
Passion for environmental conservation and commitment to the mission of Rainforest Plants of Australia.
Benefits:
Competitive salary.
Flexible work schedule.
Opportunity to contribute to meaningful conservation efforts.
Supportive and collaborative team environment.
Job Type: Full-time
Pay: $39.27 per hour
Expected hours: 40 per week
Benefits:
Dental insurance
Extended annual leave
Health insurance
Schedule:
8 hour shift
Monday to Friday
Work Location: Hybrid remote in Stafford Heights, QLD 4053",$39.27 an hour
3,Data Entry Operator,missing,Currambine WA,missing,- Full-time,missing,missing,missing,"Are you ready to type your way to success? We’ve got the perfect opportunity for you!
About Us: We're a dynamic and forward-thinking company based in Joondalup, looking for meticulous and motivated individuals to join our data entry team. Whether you’re a school leaver stepping into the workforce or a new mother returning to work, this role offers the flexibility and support you need to succeed.
Job Description: As a Data Entry Operator, you'll be at the heart of our operations, ensuring data accuracy and efficiency. You'll be responsible for entering and updating information, maintaining databases, and supporting our team with essential data tasks. If you’re detail-oriented and love working with data, this role is a great fit for you!
Key Responsibilities:
Accurately input and update data into our systems with a keen eye for detail.
Maintain and manage databases, ensuring all information is up-to-date and accurate.
Verify data for errors and inconsistencies, ensuring high-quality data integrity.
Assist with data retrieval and generate reports as needed.
Collaborate with the team to improve data management processes.
Qualifications:
Strong attention to detail and excellent organizational skills.
Proficient in basic computer applications and data entry software.
Good communication skills and the ability to work as part of a team.
Previous data entry experience is a plus but not required – we’re happy to train the right candidate!
Ideal for school leavers or new mothers looking to return to the workforce.
Why Join Us?
Flexible Hours: We understand the need for work-life balance, especially for new mothers and school leavers. Enjoy flexible working hours that fit your schedule.
Supportive Team: Join a friendly and supportive team that values your contributions.
Growth Opportunities: We’re committed to your professional development with opportunities to advance within the company.
Don't forget to take Ctrl and Enter your resume...
Job Type: Full-time
Pay: From $30.00 per hour
Expected hours: 36 per week
Schedule:
8 hour shift
No weekends
Supplementary Pay:
Bonus
Overtime pay
Work Authorisation:
Australia (Required)
Work Location: In person",From $30 an hour
4,Quant Trader Developer (Graduate Role),Tibra Global Services Pty Ltd,New South Wales,missing,- Full-time,Investment & Asset Management,missing,51 to 200,"The QTD Accelerator Program is open to recent University graduates, applicants with up to 5 years' prior experience in quantitative trading or a similar field, and post-doctoral academics looking to transition into quant trading. The program is based in Austinmer, NSW, Australia.
Vacancies are open for September 2025 commencement.
Start dates are dependent on graduation date + lengthy visa processing times for international applicants. Our recruitment team will provide an indication during the process.
At Tibra, you will develop real world trading systems and apply quantitative financial methods to the most competitive financial markets in the world.
Our Accelerator Program offers a unique opportunity to experience first-hand the development of cutting-edge proprietary trading systems. You will be mentored by Tibra's best Quants and Developers, and your training will balance fundamental development, financial market theory and on-the-job training and mentoring. You will contribute to the evolution of the Tibra's trading strategies, while building the software development skills and market insights needed for your success as a Quant Trader Developer.
We offer a competitive salary and attractive employee benefits. At Tibra, you will also have the opportunity for extensive training and learning via our in-house Tibra University program in addition to on-the-job training and mentoring.
This role is based in Austinmer, NSW, Australia.
Requirements
Experience required:
Degree in Mathematics, Computer Science, Engineering or related subject
Computer Science Fundamentals - data structures, algorithms and operating systems
Desirable experience:
C++ and/ or Python
Data analysis
To apply for this role please submit your profile and include:
Resume (include past/ expected University graduation dates)
University academic transcript
Residency status (can be noted on resume)
IMPORTANT:
As part of this application, candidates will have 2 weeks to complete an aptitude and computer programming test, followed by a series of 3 x technical interviews (group task, programming + quantitative interviews) and a cultural interview over a further 2-3 weeks. If you are not ready to commit to substantial online testing and interviews over the next 1-2 months, please apply later as you will be expected to complete each stage if you submit this application.
Please ensure your application is complete and accurate by double checking your full name and email address, as this will be our primary form of contact with you. You understand that these results may be used to assess future applications as well.
Benefits
In-house and external training
Opportunity to actively support charitable causes through our Foundation
Generous leave allowances
Insurance cover
Weekly massages
Group fitness classes/ personal training
Healthy breakfast, lunch and snacks provided daily
Working with smart, passionate and driven people every day
Job Type: Full-time
Pay: From $150,000.00 per year
Benefits:
Free food
Life insurance
Paid volunteer leave
Parental leave
Professional development assistance
Referral program
Relocation assistance
Schedule:
Monday to Friday
Supplementary Pay:
Bonus
Signing bonus
Work Location: In person","From $150,000 a year"
5,Data Analyst,Bupa,Melbourne VIC•Remote,missing,Full-time,Healthcare,missing,"more than
10,000","Opportunity snapshot:
An exciting, Permanent opportunity has become available for a Data Analyst
The Data Analyst will be responsible for analyzing data to identify patterns and trends that can inform business decisions. They will work closely with the business to collect, clean, and transform data, develop analytical models, and communicate findings to stakeholders. The successful candidate will have strong analytical skills, be comfortable working with data, and have a desire to learn and grow in the field of data analytics.
How will I help?
Working with the business to collect, clean, and transform data for analysis
Assist in the development and execution of statistical analyses and data models
Conduct data quality checks to ensure accuracy and completeness of data
Collaborate with cross-functional teams to identify opportunities for process improvement and automation
Stay up-to-date with industry trends and best practices in data analytics
Prepare data for reporting, interpret multiple data sources, ability to create new fields or measures, undertake analysis and present outputs in an actionable and engaging format
Scope and develop data repositories to support reports in PowerBI or other reporting tools (e.g. Excel)
What do I need?
Tertiary qualifications in Data Science, Statistics, Mathematics, Economics, Computer Science, or a related quantitative field.
Strong analytical skills with the ability to analyse complex data sets and develop insights.
Analyse data sets, perform quantitative analysis, data mining, and create data visualizations to provide business insights.
Experience with data visualization tools such as Tableau or Power BI is a plus.
Excellent communication and presentation skills with the ability to translate technical findings into non-technical language.
Strong attention to detail and ability to work independently and in a team environment.
Strong business acumen with the ability to engage stakeholders at all levels
About us:
Bupa has a strategic goal of being the most customer-centric digital healthcare organisation, with the use of data as an explicit pillar of this strategy.
The program pillars include:
A Customer-Centric Focus - Bupa aims to grow our data products, the data that people have access to and the utilisation of data as a strategic asset that drives our Connected Care, Core Modernisation, and other strategic change agents
Data Access and Democratization - Ensuring everyone has access to and can understand the data Bupa holds; reducing barriers to entry and make the complex simple for people who want to leverage our data assets
Support for Access - Help leaders in ensuring easy access to data for people that they work with
Empowerment - Enabling business people to do their role as owners, stewards, and leaders.
Delivery & Customer Value First - Treat data as an asset to create value for customers and remove barriers to achieving compliance, risk, or other barriers to value
What’s in it for you?
As well as a competitive salary, a range of Bupa benefits and flexible working/ work from home, you’ll be challenged and encouraged to innovate. You will collaborate strongly with colleagues who are committed to delivering exceptional experiences. We trust, respect and consider everyone, knowing your difference will make the difference.
Other benefits include subsidies on our health insurance, travel, car, home, contents and pet insurance products as well as Bupa services such as Dental and Optical. You can also access a ‘People First’ wellness program which provides a range of services such as health coaches, annual skin checks and flu vaccinations, assistance with nutrition, mental and general well-being guides and product discounts.
You’ll feel happier & healthier working at Bupa!",missing
6,Data Entry Operator,The Little Market Bunch,Remote,missing,Full-time,missing,missing,missing,"Job Title: Data Entry Operator
Company: The Little Market Bunch
Location: Remote
Job Type: Full-time (40 hours per week)
Salary: AUD 21.38 - 46.64 per hour
About Us:
We are currently seeking a meticulous and dedicated Data Entry Operator to join our team in a fully remote, full-time role. If you have a keen eye for detail and enjoy working in a structured environment, this position is perfect for you.
Key Responsibilities:
Accurately input and update large volumes of data into our internal systems and databases.
Verify data for accuracy and completeness, ensuring high standards of data integrity.
Perform regular data audits and quality checks to maintain up-to-date and error-free records.
Manage and organize electronic files, ensuring easy retrieval of information when needed.
Collaborate with other team members to streamline data entry processes and improve efficiency.
Generate routine and ad-hoc reports as required by management.
Maintain confidentiality and handle sensitive information with discretion.
Meet daily, weekly, and monthly data entry targets and deadlines.
Qualifications and Skills:
Previous experience in a data entry role or similar administrative position is preferred.
High attention to detail and accuracy in data entry.
Proficiency in Microsoft Office Suite, particularly Excel, and familiarity with data entry software.
Strong organizational skills and the ability to manage time effectively in a remote setting.
Excellent communication skills, both written and verbal.
Ability to work independently and stay motivated while working from home.
Reliable internet connection and a suitable home office setup.
What We Offer:
Competitive hourly rate ranging from AUD 21.38 to 46.64, depending on experience.
Full-time remote position with the flexibility to work from home.
Supportive work environment with opportunities for professional growth.
Comprehensive training to ensure your success in the role.
Stable working hours, ensuring a consistent 40-hour workweek.
How to Apply:
If you are a detail-oriented professional with a passion for accuracy and efficiency, we'd love to hear from you!
Job Type: Full-time
Pay: $21.38 – $46.64 per hour
Expected hours: 40 per week
Work Location: Remote",missing
7,Maintenance & Property Systems Administrator,Uniting Vic.Tas,Melbourne VIC 3000,missing,"- Permanent, Full-time",Civic & Social Services,missing,"5,001 to 10,000","Support across our asset portfolio incl. Early Learning, Op Shops, and Residential Care
Manage property-related payments incl. rates, utilities, contractor payments, etc.
Work-from-home option + increase take-home pay with $15,900 in salary packaging benefit
About the opportunity
Working in the hub of our housing and property team, your new role will see you be the first point of contact for all maintenance service requests from our Early Learning, Ops Shops, Residential Care and Commercial asset portfolios. These requests may come from Uniting people, landlords and or tenants and you will provide efficient and effective customer service to manage work orders end-to-end. In your new role, you will also be responsible for:
Collaborating with external trades and the Uniting Facilities team to manage property and repairs.
Manage property-related payments incl. rates, utilities, contractor payments, etc.
Complete property administration task – connecting utilities, insurance, document control, etc.
Ensure accuracy in data by participating in regular reviews, cleansing activities, etc.
Ad hoc administration and reporting tasks as needed.
View the full position description here
What’s on offer
In addition to a base salary of $71,000 and superannuation, you will have access to:
An extra 17.5% on top of your fortnightly pay when you take paid annual leave
Ability to increase your take-home pay by accessing up to $15,900 in salary packaging benefits which can be used for living expenses such as rent, groceries, bills, clothing, and much more.
10% discount on the childcare subsidy gap fee when using a Uniting Early Learning service or centre.
A great location in Wesley Place, Lonsdale Street. The building offers a range of concierge services and excellent end-of-trip facilities.
We work flexibly and set you up with the tools and access to work-from-home some days or at our other Uniting offices.
About you
You have an eye for detail, enjoy administration work and are known for providing outstanding customer service. You will also bring with you:
Experience with, and accuracy in data entry, data management and processes
Experience in property management, property administration, real estate administration or related field
Strong knowledge of property management principles
Experience using housing and or property management systems (you’ll be able to transfer this to our systems)
How to apply
Click APPLY to submit your interest and we’ll be in touch shortly. We’ll be reviewing applications as they come through as we’re keen to engage with someone.
If you’d like to know more, please If you have questions about the opportunity, please contact Peter Gow-Hills, Team Leader via email - peter.gow-hills@vt.uniting.org
About Uniting
At Uniting we are passionate about working together to inspire people, enliven communities and confront injustice. We have a 5,000 strong workforce of employees and volunteers who deliver a diverse range of services across Victoria and Tasmania.
Visit us: www.vt.uniting.org
Uniting is a child safe organisation and is committed in everyday practice to ensure the safety and wellbeing of all children, at all times. As a ‘child safe’ organisation, employment with Uniting is subject to a satisfactory national (and international where relevant) police check and relevant Working with Children Check in your State prior to commencement of any paid or unpaid work and/or participation in any service or undertaking.
Uniting is also committed to equal opportunity and ensuring the workplace is reflective of the community. We encourage people from different backgrounds to apply, including Aboriginal and Torres Strait Islander people, people from culturally and linguistically diverse backgrounds and people with a disability.","$71,000 a year"
8,Data Entry,AEM MARKETING PTY LTD,Perth WA,missing,- Full-time,Media & Communication,missing,missing,"We are currently seeking a detail-oriented and efficient Data Entry Clerk to join our team. This role is crucial in ensuring the accuracy and integrity of our data as we continue to expand.
Responsibilities:
Accurately enter data into company databases and software systems.
Review and verify data for completeness, accuracy, and consistency.
Maintain and update records in a timely manner.
Perform regular data audits and clean-up tasks to ensure data quality.
Assist in generating reports and retrieving data as requested by other departments.
Handle sensitive information in a confidential manner.
Collaborate with other team members to resolve data discrepancies.
Meet daily and weekly data entry targets.
Requirements:
High school diploma or equivalent; additional education or certifications in data entry or related fields is a plus.
Proven experience in a data entry role or similar position.
Strong attention to detail and accuracy.
Proficiency in Microsoft Office Suite, particularly Excel.
Familiarity with data entry software and database systems.
Excellent organizational skills and the ability to manage time effectively.
Ability to work independently and meet deadlines.
Good communication skills and a collaborative mindset.
Benefits:
Competitive salary with opportunities for performance-based bonuses.
Health, dental, and vision insurance.
Paid time off, including vacation and holidays.
Opportunities for professional development and career growth.
A supportive and positive work environment.
Employee discounts on company products and services.
Job Type: Full-time
Pay: $24.82 – $36.60 per hour
Schedule:
8 hour shift
Monday to Friday
Experience:
MS Office: 1 year (Preferred)
Data entry: 1 year (Preferred)
Work Authorisation:
Australia (Preferred)
Work Location: In person",$24.82 - $36.60 an hour
9,Data Analysis Officer,Justice and Attorney-General,Brisbane QLD,missing,missing,Government & Public Administration,missing,missing,"The role requires a high aptitude for assessing data quality and experience with using complex client management systems. Proficiency with Excel, and the ability to quickly acquire proficiency with Power BI, to extract, query, and display data is essential for the role.
The role reports directly to the Manager, Coronial Services Practice and Reform.

Your key responsibilities:
Query, retrieve, and analyse data from various sources to meet research, monitoring and evaluation requirements.
Cleanse data sets to ensure high quality data.
Analyse and interpret data reliably and communicate findings succinctly to a range of stakeholders.
Develop in-house mechanisms for data collection.
Review and improve methodologies for processing, maintaining and analysing data to ensure timeliness, accuracy, and efficiency of the processes.
Prepare briefs, correspondence, procedures, and other items as requested.
Work collaboratively with other staff to proactively identify business improvement opportunities and implement contemporary technologies.
In this role you will be exposed to traumatic material by investigating, witnessing, or being exposed to traumatic events. This may include reading, hearing, or seeing accounts, photos, videos and other material related to traumatic events. The material may be unexpected, confronting, explicit, distressing, and/or offensive. We have a range of physical and psychosocial safety controls in place for all DJAG workplaces, including strategies to manage the risk of workers being exposed to traumatic events, material and/or vicarious trauma. We also support employees who are impacted by their work.
Applications to remain current for 12 months.This work is licensed under a Creative Commons Attribution 3.0 Australia License.",missing
