,Job Title,Company Name,Location,Work Model,Employment Type,Industry,Company Type,Company Size,Job Description,Salary
0,Graduate Engineer,Consoft Automation,South Albury NSW,missing,Full time,missing,missing,missing,"THE ENVIRONMENT
Consoft Automation Pty Ltd is an Albury/Wodonga based firm specialising in the design and implementation of Industrial Control Systems Software and Engineering solutions - one of the largest such firms outside the capital cities.
The local region offers many attractions, from relaxed lifestyle, mountains and snowfields, water sports and outdoor activities to historical sites, vineyards, fine food and music.
The central location between Melbourne, Canberra, Sydney and Adelaide offers easy access to most major events.
 THE OPPORTUNITY
Work across a suite of standard systems.
Work with major automation suppliers such as Rockwell, Schneider, Siemens, Citect, ABB and more.
Work for major national and international manufacturing businesses using the latest automation practices, equipment and technology.
Work on essential utility supply systems such as water, wastewater, power generation and more.
Rapid and continued skills development and field experience with innovative software development practices.
THE ROLE
We are looking for a self-motivated engineering graduate to join our team.
This role involves programming PLC controllers and standard SCADA configuration for automation, with exposure to Windows operating platforms, networking, and databases.
The successful applicant will gain experience in all fields of modern manufacturing, from field process equipment, switchgear and motor technologies, robotics and servo control through to the PLC and HMI system, MES databases and reviewing data via custom Web based pages, SCADA or proprietary historian user interface screens.
Working predominantly with automation systems, you will be involved in development and enhancement of software applications using leading edge technical solutions.
CRITERIA
Recent Graduate in electrical engineering or mechatronics.
Excellent verbal communication skills.
Excellent writing and reporting communication skills.
Pride in excellence and a passion for automation.
Some electrical, instrumentation or industrial automation experience preferred, but not essential.
Knowledge of electrical and automation concepts.
Knowledge of data warehousing and applications for end user analysis using Microsoft operating systems would be an advantage.
A current driver’s license is essential.
Current Australian residency is essential.
SALARY
An attractive salary package, including full superannuation and annual leave entitlements will be negotiated.
Summary of role requirements:
Looking for candidates available to work:
Monday: Morning, Afternoon
Tuesday: Morning, Afternoon
Wednesday: Morning, Afternoon
Thursday: Morning, Afternoon
Friday: Morning, Afternoon
2-3 years of relevant work experience required for this role
Working rights required for this role
Expected start date for role: 01 September 2024",missing
1,Delivery Driver/Food Courier,Menulog Group,Irymple VIC,missing,Contract,missing,missing,missing,"Want to deliver food from Australia’s favourite chains including KFC, Oporto, Hungry Jack's and more?
Want some flexibility in your work and to be the boss of your own schedule?

Why drive with Menulog?
Sign up to be a courier on the Menulog network today to generate extra revenue. Completely flexible with the ability to set your own hours based on your schedule and lifestyle, you can drive in your vehicle, in your own clothing. No requirement to carry cash whilst on delivery runs.

About the business
Menulog is Australia's widest-reaching online food delivery service with the greatest choice of both restaurants and cuisine types on offer. Menulog connects millions of active customers with over 35,000 local restaurants via menulog.com.au and mobile apps. Menulog offers more than 90 different cuisines that can be delivered to more than 87 per cent of Australian addresses through its network of restaurant partners.

What you need to get started as a delivery driver:
Must be at least 18 years of age
Have the right to work in Australia
Have access to a roadworthy car, scooter or motorbike (insured and registered)
A valid driver's license (Menulog accepts: C, P2, R, LR, MR, HR, HC, MC)
Have an Android (at least 4.2) or iPhone (at least 4S) with a data plan
Have a valid Australian Business Number (ABN)
Own a commercial-grade, thermal food catering bag (you can buy this from Menulog if required)
Delivery Driver / Food Courier perks:
Set your own availability to suit your lifestyle
Be your own boss, Explore your local area
Payments are made weekly to your Australian bank account

Skills and experience - This is well suited but is not limited to those who have also been a...
Administration Assistant / Administration Officer / Admin
Office Administrator / Office Assistant / Receptionist / Data Entry Clerk
Office Manager / EA / PA / Personal Assistant
Brand Ambassador / Marketing / Marketing Assistant / Sales Assistant
Internship / Apprenticeship / Intern
Student / Part-time Student / RA
Customer Service / Client Services / Casual Retail
Nightshift / Weekend / Delivery Driver
Apply Now to start generating extra revenue, with the flexibility to suit your lifestyle
Job Type - Contract: Casual / Part Time / Weekend / Evening / Shift Work / Temporary / Commission",missing
2,Data and Analytics Manager,TasWater,Hobart TAS,missing,Full time,missing,missing,missing,"Our Business
TasWater is undergoing a comprehensive digital and technology modernisation program designed to uplift our digital capability and harness the power of data-driven insights. This transformation journey is essential for enhancing our operational efficiency, improving customer experiences, and staying at the cutting edge of today's fast-paced digital landscape. 
As we integrate and develop advanced technologies such as artificial intelligence, machine learning, data analytics, and IoT into our operations, we are expanding our team with a number of new and exciting roles. 
Over the coming 5 years we’re investing $1.5 billion to ensure a safe and secure water future for a growing Tasmania, and will we make great steps towards our aspirations of net zero carbon emissions and towards zero waste. Visit our website or YouTube channel to learn more. 
The Role
The key responsibilities in this role include: 
Develop and implement the Data Strategy and Data Governance Framework to drive better decision-making. 
Lead and manage a team of specialists in data and analytics to ensure business value is maximized. 
Oversee the continuous improvement of the data and analytics function, aligning with industry best practices. 
Manage project life cycles, identifying and mitigating risks to ensure successful project outcomes. 
Maintain strong knowledge of the water industry and regulatory frameworks impacting data and analytics. 
What we're looking for
To be successful we’re looking for the following experience: 
Proven experience in a leadership role overseeing a technical team within a complex organisation. 
Strong technical ICT and project management skills with a focus on data and analytics. 
Excellent interpersonal and communication skills to effectively engage and influence stakeholders. 
Extensive experience in data and people management, with a focus on delivering business outcomes in line with a corporate strategy. 
Please visit our website to view the Position Description.  
Why TasWater
Embracing digital in the water industry is essential for a sustainable future. Embracing AI, ML, IoT, and big data revolutionises water management, ensuring efficient use, reducing waste, and enhancing service quality. This innovation protects our precious resources, meets environmental standards, and builds resilience against climate change, securing clean water for generations to come.  
We are continuing to build an inclusive workplace and workforce that truly represents the Tasmanian community that we serve. We value diversity in all its many forms and welcome a range of perspectives and identities to enrich the way we work and what we do. 
We take pride in being acknowledged as an employer of choice for women by WORK180. Visit the Work180 website to view our benefits and policies, such as 18 weeks paid parental leave for all parents regardless of tenure and with full superannuation contributions. We’re continuing to work on future benefits through a dedicated Employee Experience team. 
The Details
This role can be based in either Hobart, Launceston, or Devonport and attracts a salary of Circa $180,000 (inclusive of superannuation), negotiable dependent on experience.  
If you want to learn more about this role or need assistance in applying, please contact Jon Ettershank – Head of Digital and Technology on 0414 834 ***.  
Applications close 11am on Monday 16th September. Please note a cover letter is optional. ","$180,000 - $180,000 a year"
3,Intern - Data Analyst (12 Week Internship based in Cremorne),Barrett Burston Malting,Cremorne VIC,missing,"Contract, Casual/Temporary",missing,missing,missing,"Together we are empowered to do our best work.
We value our people’s unique contributions, and we work together as part of a high-performing team to deliver for our customers. We’re focused on work-life balance and building a flexible and supportive culture. 
With operations in Australia and New Zealand, we are part of Malteries Soufflet and the InVivo Group, the largest malting company worldwide.
About our team
With roots in the founding families of Australia’s malt industry, Barrett Burston Malting Co. (BBM) has been delivering premium malted barley for customers for more than 150 years. We source top-grade barley from farms across Australia and work directly with brewers & distillers to ensure that our malt matches both the required quality and flavour profile so they can continue to craft the best beers and whisky’s. Our head office and primary malting operations are located in Victoria – home to some of Australia's finest malting barley crops. With operations in Western Australia, Queensland, and New Zealand, we combine tradition and experience with innovation for the brewing and distilling sector.
About the Role:
Barrett Burston Malting’s twelve-week Internship Program is a chance for you to gain experience, build connections and provide on-the-job learning to help develop your skills.  In this role, you will be responsible for gathering and analysing data from various sources to inform business decisions.  The ideal candidate will have a strong background in data analysis, market research, and an understanding of industry trends.
What you'll do: 
As a Data Analyst Intern you will: 
Work in collaboration with cross-functional teams to understand business needs and provide analytical support.
Collect, validate, and analyse data such as market conditions, sales, products, product volume and price points to identify trends and opportunities.   
Data analysis tasks will include summarising data, pattern recognition, and statistical analysis to help generate deeper insights and facilitate the identification of areas for improvement.
Compile findings, develop and design data dashboards, predictive models or apply clustering algorithms to segment data in easy and comprehensible formats.
Must be proficient with Microsoft Excel 
What we offer: 
12-week paid internship program 
Opportunity to contribute work that will have real positive impact on the business. 
Support to develop your skills. 
To be eligible for the Barrett Burston Malting Intern program you must have: 
Full working rights in Australia 
Studying at a Melbourne university 
Be in your Penultimate year and graduating in 2025 
Minimum 'pass' grade.
Hybrid working arrangement (Monday, Tuesday and Thursday in office AND Wednesday and Friday WFH)
Qualifications:
Studying or a recent graduate with a Bachelor’s degree in Data Analytics, Statistics, Mathematics, or a related field.
Strong knowledge of data analysis tools and software (Excel).
Strong analytical and problem-solving skills.
Attention to detail and accuracy in handling data.
Good communication skills and ability to present findings clearly.
Eagerness to learn.
Interested in joining us?
Please apply via SEEK with a cover letter with your motivation for working at BBM as Data Analyst Intern.
Applications not received via SEEK will not be considered.
Please note: candidates will be required to undertake a Criminal History Record Check and provide proof of unrestricted working rights. ",missing
4,Data & Reporting Analyst,Sexual Health Victoria,Box Hill VIC,missing,Part time,missing,missing,missing,"Permanent role 
Part-time
Flexible working arrangements available
Full salary packaging benefits, and secure undercover parking
$83k annual salary (pro rata)
About SHV
Sexual Health Victoria (SHV) is a leading, not for profit, state-wide provider of sexual & reproductive health care, education & advocacy. Governed by a voluntary board of directors, we have been providing comprehensive reproductive and sexual health services in Victoria for over 50 years.
We deliver a range of services which are accessible, culturally relevant & responsive to the needs of the diverse Victorian community. These services include clinical care as well as education & training to help build the capacity of educators & health care professionals working in the reproductive and sexual health sector.
About the role
Reporting to the Corporate Services Director, this part-time (0.7 FTE) Data and Reporting Analyst role at Sexual Health Victoria offers an exciting opportunity to contribute to the organisation's data-driven decision making. Based in our Box Hill office, you will play a key part in developing and maintaining reporting solutions that inform strategic planning and service delivery.
Key Accountabilities
Data Modeling and Preparation: Assemble, describe, organise, store, and integrate data from all SHV platforms to facilitate reporting and trend analysis.
Data Quality Assurance: Ensure data accuracy, completeness, and integrity through effective data collection, processing, and reporting.
Reporting and Dashboard Development: Create and maintain monthly performance reports and dashboards using Power BI and SQL to measure activity and financial performance against budget.
Interactive Dashboard Design: Develop and automate interactive dashboards for internal stakeholders based on an organization-wide reporting framework.
External Reporting: Design and develop reports to meet the requirements of external stakeholders.
Trend Analysis and Insights: Analyse complex data sets to identify trends and provide actionable insights and recommendations to support decision-making.
Data Architecture Improvement: Evaluate and enhance the accuracy and currency of organisational data and assist in implementing technologies to improve data management and analysis.
Ad-Hoc Data Requests: Address on-demand data requests and participate in ad hoc projects as needed.
Team Collaboration: Actively engage in team meetings, contribute to objective setting, and work towards professional development goals.
Stakeholder Data Exchange: Facilitate data exchange with external stakeholders in alignment with agreed data schemas.
About You (Key Selection Criteria)
Strong experience in a data analytics role with a high degree of autonomy
Degree Qualifications in Data Management, Computer Science, Information Systems or similar 
Strong proficiency in data extraction, transformation and analysis using tools such as SQL, Excel and Power BI
Excellent data visualisation and reporting skills with the ability to translate complex information into actionable insights
Sound knowledge of data management principles, including data modelling, security and governance
Strong stakeholder management and communication skills to understand and address diverse reporting needs
Experience in the Health/Education services sector highly desirable particularly with Best Practice or Arlo systems 
Experience with Microsoft Data Management suite highly regarded 
Valid Working with Children registration and current Police Check required 
Benefits of Working at SHV
Flexible working hours  
Friendly, passionate and fun team  
Access to NFP Salary Packaging options  
Values based culture  
Close to Public Transport and On-site parking in Box Hill 
How to apply
Click on the Apply button, including your resume and a brief cover letter addressing the key accountabilities. Applications without addressing the key accountabilities will not be considered.
Address any queries to **@shvic.org.au. 
To view the position description, go to https://shvic.org.au/careers 
Applications close Monday 16th September 2024; however, applications will be viewed upon receipt so apply without delay.
We welcome applications from Aboriginal and Torres Strait Islander people, workers of all ages, people with disabilities, people who identify as LGBTIQA+ and those from culturally and linguistically diverse backgrounds.",missing
5,Data Analyst,Aqua Metro,Mulgrave VIC,missing,Full time,missing,missing,missing,"About Aqua Metro:
Aqua Metro is an integrated service provider specialising in the water sector. Our organisation and team bring significant capability and experience in design and construction of civil, mechanical and electrical works to the water industry. Our staff are highly skilled, experienced, reputable people with a demonstrated track record of delivering our core services in long term partnerships for key water customers. Our service lines include:
Water and Waste water treatment plants
GeoKrete
Pump Stations
Dam Constructions
Sewer Rehabilitation Works 
Pipeline Works
Program Management 
Water Main Maintenance Works 
About the Data Analyst role: 
Designing, developing, and producing reports to inform executive decision making using appropriate software and business intelligence tools, to enable senior leaders to monitor performance and prioritise business activities.
Establishing and maintaining relationships with key stakeholders (e.g. business partners), to ensure that reports produced are fit-for-purpose.
Collaborating with team members and key stakeholders to develop new analytical reporting products to ensure that information systems are capturing data required for reporting.
Applying analytical and conceptual skills to resolve problems, when undertaking data analysis 
Maintaining, applying and developing processes and procedures for reporting, to ensure the quality and accuracy of information presented 
Provide information and advice to the organisation in the form of analyses and recommendations upon which the organisation develops to support business outcomes.
To succeed in this role, you will: 
have extensive experience in Data Analysis, Pricing, Forecasting, Modelling and Reporting, acquired in a commercially focussed role.
have experience building and using automated reporting tools, statistical models, including data accuracy and integrity 
have practical knowledge of the systems and tools used in data interrogation, analysis, forecasting and financial modelling, as well as data extraction capabilities and data visualisation experience using systems like Power BI.
have demonstrated capacity to work as a part of cross-functional teams as well as autonomously, seeking guidance effectively when necessary, and utilising strong stakeholder engagement skills to drive outcomes.
have well-developed organisational skills with the ability to apply project management principles to manage work effectively and deliver outcomes under pressure circumstances when priorities and deadlines are competing.
have a can-do attitude, be flexible and adaptable and willing to learn! 
be able to work with a variety of stakeholders as well as independently
be proactive and professional in your communication
Position is based in our Mulgrave office. 
We offer: 
Endless career growth opportunities whilst been supported and mentored.  
Work/life balance- No weekend work or excessive hours. 
Attractive salary and benefits.
Long Term secure pipeline of work. 
Reward and Recognition 
If you are passionate about the water industry and want to join a company delivering exceptional projects for our clients and the community then we would love to hear from you! ",missing
6,Data Analyst,People's Choice Credit Union,Adelaide SA,missing,"Contract, Casual/Temporary",missing,missing,missing,"About the role
We have a new opportunity for a Data Analyst to support key system migrations including core banking and CRM critical to the successful integration of the Heritage and People’s Choice merger.
You’ll collaborate with project teams, business analysts and engineers to understand and document business requirements, and undertake various other tasks including data profiling, mapping, transformation and testing.
This role is offered as a 2 year Fixed Term Contract with possible extensions or permanency.
What your day will look like:
Work with stakeholders to elicit, analyse, communicate and validate requirements for data migrations.
Facilitate workshops with business analysts to document business processes and requirements.
Develop functional specifications for engineers.
Assist in the development of transformation scripts.
Support the development and testing phases of data projects.
Guide the business through the adoption of the data migration methodology.
Design, build and deploy dashboard-type reporting to meet business needs / requirements, ensuring that business needs are met.
About you 
You are outcomes focussed, have a curious mind-set and work collaboratively with the team and the business to support data migration.
Knowledge and Experience: 
Demonstrated experience in data analytics or related field.
Proven experience in eliciting requirements and developing functional specifications.
Strong knowledge of T-SQL and Python programming 
An understanding of financial services operating environment and products (desirable).
Knowledge of Data Bricks, the Azure environment and data visualisation tools (Power BI preferred) will be highly regarded.
Who are we? 
People First Bank is powered by People's Choice and Heritage Bank. With over 720,000 members and 1,900 employees, we are committed to creating a better future for our members and the communities we serve. We have dual head offices in Toowoomba and Adelaide, and 95 branches across South Australia, Victoria, New South Wales, Queensland and the Northern Territory, trading under brands: People First Bank, Heritage Bank and People's Choice.
Putting ‘People First’ starts with our team members and we are committed to creating an outstanding working environment where you feel supported, can continue to develop and are proud advocates of our members and our business.
Benefits of working for us   
We believe the little extras can make a big difference in supporting your success. That’s why we offer great incentives and benefits including:  
Paid parental leave and special leave provisions. 
Employee banking benefits and discounted insurances. 
Work from anywhere philosophy with the flexibility to work from home or in the office. 
Career development opportunities, and ongoing training, coaching and support. 
A dedicated Employee Assistance Program for you and your family to access in times of need. 
Paid volunteering days and access to a diverse range of community and charitable initiatives. 
If you are ready to join a supportive team who are passionate about the work they do and the results they achieve, then click 'Apply' now and submit your application, including a cover letter and current resume by 11th September 2024.
We are committed to diversity and inclusion and support candidate requests for adjustments to accommodate disability, illness or injury, to enable everyone to equitably participate in our selection process.",missing
7,Data architect - contract,Renaissance InfoSystems,Sydney NSW,missing,Full time,missing,missing,missing,"About us: Renaissance Info Systems is a technology and digital recruitment agency, connecting contract and permanent professionals with clients across Asia-Pacific.
We aim to differentiate ourselves through our level of responsiveness, and our understanding that comes from being an IT recruitment agency from the IT Industry. Our recruiters balance sophisticated and simple inter-personal techniques to assure a strong candidate network.
Know More: http://www.reninfo.com.au
We are hiring for one of our clients for the below role. Interested ones please do share your resume with me at ******@reninfo.com.au
Role/Title: Data Architect
Mode of Hiring: Permanent/ Contract
Location: Sydney
Job Description:
Data Architect with exp in Glue experience, Metadata cataloguing, Delta Lakes and Parquet files etc
Job Description: Data Architect
Overall Responsibilities:
Design and build data infrastructure to extract and organize data for authorized individuals to access.
Identify internal and external data sources and collaborate with department heads to determine data storage and organizational needs.
Utilize expertise in data architecture to support data management and governance initiatives.
Software Requirements:
Experience with AWS services such as Glue, Lambda, Data Pipeline, Athena, and Redshift for building and managing data lakes and data mesh architecture.
Proficiency in Delta Lake in Databricks for efficient storage and management of large-scale structured and unstructured data.
Familiarity with Apache Iceberg metadata layer for monitoring and managing metadata in data lakes.
Knowledge of Azure Databricks for enriching Delta Lake tables with custom metadata.
Category-wise Technical Skills:
Data Management: Expertise in metadata cataloguing, managing data lakes, and addressing the challenges of metadata management in data lakes.
AWS Services: Proficiency in using AWS services for implementing a Data Mesh architecture, data integration, and workflow automation.
Delta Lake and Parquet Files: Hands-on experience in working with Delta Lakes and Parquet files for efficient data storage and processing.
SQL and Analytics: Ability to assemble and run analytic queries using SQL statements for data analysis and forecasting.
Experience:
Minimum of 5 years of experience in data architecture, with a focus on managing large-scale data infrastructure and data lakes.
Proven track record of successfully implementing and managing data architecture solutions using AWS and Databricks technologies.
Day-to-Day Activity:
Collaborate with cross-functional teams to understand data requirements and design scalable data solutions.
Develop and maintain data architecture blueprints and documentation for data lakes and data mesh architecture.
Implement best practices for data governance, data quality, and data security within the organization.
Qualification & Soft Skills:
Qualification: Bachelor's or Master's degree in Computer Science, Information Technology, or a related field.
Soft Skills: Strong analytical and problem-solving skills, excellent communication and interpersonal abilities, and the ability to work effectively in a collaborative team environment.
Eligibility: Valid visa with full working rights in Australia.
Contact Person Details:
Shashi Dagar
Senior Recruitment Consultant
******@reninfo.com.au",missing
8,Data Analyst,CBHS Health Fund,Parramatta NSW,missing,Full time,missing,missing,missing,"CBHS Health Fund Limited is a not-for-profit, restricted access health fund run exclusively for current and former employees of the Commonwealth Bank Group, as well as their immediate families.  We are recognised as a leader in customer satisfaction and pride ourselves on truly looking after our members.
An opportunity exists to join our BIG Team in the role of Data Analyst reporting to the Data Manager.
About the role 
The Data Analyst plays a crucial role in supporting the Benefit and Provider relationship team’s effort to minimize Claim Fraud Leakage, and to deliver their projects.
The role combines strong analytical skills with SQL expertise to extract meaningful insights from healthcare datasets..
Some of the key responsibilities are:
Conduct comprehensive analyses of claims data, benefit utilization, and provider performance using SQL and other analytical tools.
Identify opportunities for process improvements and automation in data analysis workflows.
Validate data integrity and accuracy, identifying and resolving data discrepancies.
About you
Strong proficiency in SQL. 
Data visualisation skills are desirable.
PHI experience is desirable.
Excellent analytical and problem-solving skills.
Strong accuracy and attention to detail.
A positive attitude and strong work ethic.
Why CBHS?
As a valued member of the CBHS team, you will work in a rewarding, collegiate and challenging environment that offers opportunities for development and professional growth. CBHS supports all team members in expanding their capabilities and realising their full potential.  We pride ourselves on our great culture that includes an emphasis on work/life balance, and you will have access to various programs to improve your mental and physical health.
Please apply with a cover letter outlining your suitability for the role and resume without delay!
Please note, while we give careful consideration to all applications received, only shortlisted candidates will be contacted.
During the selection process, candidates will be required to undergo additional background checks including verification of experience and qualifications in determining their suitability for the role. Successful candidates will also need to agree to undergo a National Police Check",missing
9,Reporting & Data Analyst – Power BI,Hampshire Property Group,Sydney CBD NSW,missing,Full time,missing,missing,missing,"Reporting & Data Analyst – Power BI
Join our dynamic team at Hampshire Property Group!
This role is a work from home position with IT equipment to be provided . Please note we are open to candidates on the eastern seaboard of Australia.
ABOUT US: 
Established in 2006, we are a family-owned business who operate residential land lease communities, Holiday Parks, and mixed-use Communities across Australia and New Zealand.
The Hampshire Property Group prides itself on offering lifestyle experiences for community, lifestyle living, holidays, and adventures for people wanting to explore their backyard in an exciting way.
We are a dynamic team who are committed to supporting the people within our business to grow.
At Hampshire, we believe in the power of shared values to drive success. Respect, accountability, collaboration, innovation, and quality & customer focus are not just words on paper for us – they are the principles that guide everything we do. 
POSITION OVERVIEW:
As a skilled data analyst, you will work with our finance reporting group , working closely to develop the Company’s insightful reporting and analysis, using Power BI, Solver and Excel.
Key Responsibilities include: 
Reporting: Preparation of accurate, timely reporting across the business.
Month end and ad hoc reporting for the group
Developing and Deploying BI Solutions: Create and manage reports, dashboards, and data visualizations using Power BI, Power Apps and Solver, tailored to integrate seamlessly with our data warehouse.
Data Integration: Work with various data sources to ensure a cohesive and efficient data environment that supports company-wide analytics and decision-making.
Automation: Streamline operations and improve efficiencies by automating manual reporting processes.
Migrate existing legacy dashboard and reports onto Power BI platform.
Formulate and deliver resolution of ad hoc queries and requests for business data & information as required.
Support and provide feedback to various business functions relating to the continuous improvement of data integrity and reporting visibility.
Continuous Improvement: Engage in ongoing system enhancements to ensure peak performance and user-friendly experiences
Requirements: 
Proficiency and demonstrated experience with Power BI and Excel. Familiarity with Solver data warehouse solutions is an advantage.
Must have a minimum of 2 - 3 years Power BI experience
Proven track record of successful cross-system integration using Power BI, Power Apps and other applications.
Strong problem-solving skills and the ability to work under tight deadlines.
Ability to learn new systems, to be trained in the use of Solver for reporting requirements
Excellent communication skills, with the ability to conduct workshops and training sessions.
Ability to work collaboratively with other team members and those in the wider business units.
Passion for AI Technologies: We are specifically seeking a candidate who is enthusiastic about AI technologies and their seamless integration into our day-to-day business processes.
Benefits: 
Work with a reputable company that values innovation and technology.
Access to exciting projects and leading technologies in the industry.
Competitive remuneration and opportunities for career advancement.
Inclusive and diverse work environment that encourages personal and professional growth.
Work from home
If you are passionate about Data Analysis, Reporting, Power BI, and AI technologies, and are ready for a new challenge, apply now with your CV and cover letter detailing your experience",missing
