,Job Title,Company Name,Location,Work Model,Employment Type,Industry,Company Type,Company Size,Job Description,Salary
0,Director/Senior Director of Consumer & Business Insights,McDonald's,"Thornleigh, New South Wales, Australia",missing,Full-time,Restaurants,Public Company,"10,001+ employees","McDonald’s Australia is the largest quick service restaurant operation in the country. Fondly known as “Macca's”, we have been a household name in Australia for over 50 years, we believe that our customers are the heart and soul of everything we do and make it our mission to make every moment count! As an employer of choice winner time and time again, working with us means taking pride and having fun along the way; while growing and developing your career in a dynamic and supportive environment.",missing
1,Entry Level Data Entry Clerk - Part Time (100% Remote),AllStaff Staffing & Recruiting,"Millers Point, New South Wales, Australia",missing,Part-time,Staffing and Recruiting,Privately Held,201-500 employees,"We are seeking a highly organized and detail-oriented individual to join our team as a Data Entry clerk. As a Data Entry clerk, you will play a crucial role in maintaining accurate and up-to-date records of our company's data. This position requires a strong attention to detail, excellent typing skills, and the ability to work efficiently under tight deadlines.



Inputting and updating data into our company's database system

Verifying and correcting any discrepancies in data entries

Conducting regular data audits to ensure accuracy and completeness of records

Generating reports and extracting data as requested by team members

Collaborating with other teams to ensure seamless data flow across departments

Assisting with data cleaning and data validation processes

Maintaining the confidentiality and security of sensitive information



High school diploma or equivalent

Proficient typing skills and strong attention to detail

Strong computer skills, including knowledge of Microsoft Office Suite

Excellent organizational and time management skills

Ability to work independently and efficiently

Strong problem-solving and analytical skills

Excellent communication and teamwork skills",£14.10/hr - £28.10/hr
2,Data Entry Clerk - No Experience!!!,Workforce Australia for Individuals,"Maddington, Western Australia, Australia",missing,Full-time,Government Administration,Government Agency,1 employee,"Are you detail-oriented and have a knack for accuracy? We are seeking a reliable Data Entry Clerk to join our team. This entry-level position is ideal for individuals with strong typing skills and a keen eye for detail.

Key Responsibilities

Input data into computer systems accurately and efficiently

Verify data for completeness and accuracy

Maintain data files and records

Assist with data cleaning and validation processes



Excellent typing speed and accuracy

Strong attention to detail and ability to follow instructions

Proficiency in data entry software and applications

Ability to work independently and meet deadlines

No previous experience is required. We provide on-the-job training and support to help you develop your data entry skills.

To apply, please submit your resume and cover letter!",missing
3,Data Entry,Workforce Australia for Individuals,"Ryde, New South Wales, Australia",missing,Full-time,Government Administration,Government Agency,1 employee,"Job reference: #

Brand: Laverty Pathology

Location: 60 Waterloo Road, North Ryde NSW (Laverty Pathology)

Full Time (Permanent) hours per week

Positions cover shifts 24 hours a day, seven days per week as required



Laverty Pathology is part of Healius Limited, one of Australia's leading healthcare companies, Healius is synonymous with quality, affordable and accessible healthcare for all Australians. It has an expansive network of pathology laboratories, collection centres and diagnostic imaging centres. Through this footprint and its 10,500 people, Healius provides specialty diagnostic services to consumers and their referring practitioners. Healius provides quality healthcare services that are easily accessible and cost efficient, while supporting the coordination and continuity of quality patient care.



We are seeking an individual who is",missing
4,Data Entry Assistant(100% Remote),Staffing Technologies,"Adelaide, South Australia, Australia",missing,Full-time,Staffing and Recruiting,Privately Held,201-500 employees,"We are seeking a highly organized and detail-oriented individual to join our team as a Data Entry Assistant. As a Data Entry Assistant, you will play a crucial role in maintaining accurate and up-to-date records of our company's data. This position requires a strong attention to detail, excellent typing skills, and the ability to work efficiently under tight deadlines.



Inputting and updating data into our company's database system

Verifying and correcting any discrepancies in data entries

Conducting regular data audits to ensure accuracy and completeness of records

Generating reports and extracting data as requested by team members

Collaborating with other teams to ensure seamless data flow across departments

Assisting with data cleaning and data validation processes

Maintaining the confidentiality and security of sensitive information



High school diploma or equivalent

Proficient typing skills and strong attention to detail

Strong computer skills, including knowledge of Microsoft Office Suite

Excellent organizational and time management skills

Ability to work independently and efficiently

Strong problem-solving and analytical skills

Excellent communication and teamwork skills",£14.10/hr - £28.10/hr
5,Graduate Research/ Insights Analyst,RFI Global,"Melbourne, Victoria, Australia",missing,Full-time,Market Research,Privately Held,51-200 employees,"Company Overview

RFI Global is the global leader in data and insights for the financial services community.

Founded in 2006, RFI now has offices in four continents and is looking for fast paced, ambitious, motivated people to help realise its rapid data and geographic expansion plans.

Over 16 years RFI has maintained its fast growth start up mentality and provides a completely dynamic environment where creative and innovative free thinkers can thrive.

We are looking for a highly motivated Graduate with an entrepreneurial mindset to be part of this growth journey. You will be joining a highly diverse business which boasts over 30 nationalities as part of its core team. We are offering an exciting opportunity to be part of a scaling business with fantastic career opportunities.



The Insights Analyst will be a key member of our dynamic and fast paced analyst team, creating critical business and market insights that our clients rely on to measure and grow performance and direct their strategy.

You will gain experience in analyzing primary voice of customer data, secondary macro data, and corporate case studies. This will provide a base from which you will be trained as an expert in financial services insights. This is a fast-paced role where you will be rewarded for your commitment and learning ability.

Importantly, you will see the impact of your work on the largest and most innovative global, regional and national banks.

Key responsibilities:",missing
6,Data Entry Officer - Data Cleansing | NSW State Government,Alexander Appointments,"Parramatta, New South Wales, Australia",missing,Full-time,Staffing and Recruiting,Privately Held,11-50 employees,"$34 per hour + Super | 37.5hours per week
NSW State Government | Hybrid - Parramatta + WFH
ASAP Start | Estimated 8 week assignment



Our NSW State Government client works with government, private and not-for-profit organisations to delivery exemplary land and property development projects that provide social and economic benefits to the NSW community



They are currently seeking a Data Entry Officer to join their team to support a system implementation project. This is an 8 week assignment based in Parramatta with some flexibility to work a few days from home per week.

Reporting to the Director, Commercial, you will be required to support a system implementation and upgrade project where there will be automating some of the manual procurement processes. This role will be heavily focused on data cleansing, data loading and coordination of digital files and records.















Applications will be reviewed within 48 hours of the job posting. Please apply by submitting your resume (in Word format) via the “Apply Now” tab to be considered for the role. .

For other similar roles currently available, please go to our jobs page https://www.alexanderappointments.com.au/job-results

We also encourage you to visit our website and create a job alert that will immediately flag you when new opportunities appear https://www.alexanderappointments.com.au/job-alerts",missing
7,Part-Time Work From Home Data Entry Clerk (100% Remote),Staffing Technologies,"Sydney, New South Wales, Australia",missing,Part-time,Staffing and Recruiting,Privately Held,201-500 employees,"This a part-time remote job for a candidate that's able to start immediately. In this position, the candidate will provide data entry for projects and other duties as needed. Take charge of data entry tasks, meet deadlines, and maintain high-quality standards. Proficiency in data entry, analytical skills, and effective collaboration with cross-functional teams are essential.



Accurately enter data into computer systems and databases

Verify and review data for errors or discrepancies

Maintain data integrity and confidentiality

Prepare and sort documents for data entry

Collect and input data from various sources such as online, databases, surveys and documents

Ensure the safety of all data and their availability when needed

Communicate with other team members to ensure accuracy and safety of data collected



Good typing and data entry skills

Strong organizational and time management skills

Excellent verbal and written communication skills

Proficiency in Microsoft Office or similar software

Ability to multitask and prioritize tasks effectively

Strong attention to detail and accuracy

Strong problem-solving and decision-making skills

Excellent team spirit",£14.10/hr - £28.10/hr
8,Data & Power BI Analyst,Workforce Australia for Individuals,"Perth, Western Australia, Australia",missing,Full-time,Government Administration,Government Agency,1 employee,"Great People, Great Company, Great Future.

Were a great Australian success story, having rapidly grown to become a major player in the global lithium market. Our Pilgangoora Operation is one of the largest, hard-rock lithium operations in the world.



Reporting to the Group Manager of Digital Technology, the Data and Power BI Analyst is responsible for maintaining, analysing, and visualising data across the organisation, ensuring data quality and accurate reporting. The analyst uses existing processes to maintain, analyse, and visualise data stored in databases, data warehouses, file geodatabases, spreadsheets, and flat files.

The role will provide quality assurance for dashboards and reports created using Power BI and other analytical tools. It contributes to continuously improving business processes, data design, and data use in analyses and visualisations. The position also requires maintaining the accuracy of company applications and system integration to ensure efficient data",missing
9,Part-Time Work From Home Data Entry Clerk (100% Remote),Staffing Technologies,"East Perth, Western Australia, Australia",missing,Part-time,Staffing and Recruiting,Privately Held,201-500 employees,"We are seeking a highly organized and detail-oriented individual to join our team as a Data Entry clerk. As a Data Entry clerk, you will play a crucial role in maintaining accurate and up-to-date records of our company's data. This position requires a strong attention to detail, excellent typing skills, and the ability to work efficiently under tight deadlines.



Inputting and updating data into our company's database system

Verifying and correcting any discrepancies in data entries

Conducting regular data audits to ensure accuracy and completeness of records

Generating reports and extracting data as requested by team members

Collaborating with other teams to ensure seamless data flow across departments

Assisting with data cleaning and data validation processes

Maintaining the confidentiality and security of sensitive information



High school diploma or equivalent

Proficient typing skills and strong attention to detail

Strong computer skills, including knowledge of Microsoft Office Suite

Excellent organizational and time management skills

Ability to work independently and efficiently

Strong problem-solving and analytical skills

Excellent communication and teamwork skills",£14.10/hr - £28.10/hr
