,Job Title,Company Name,Location,Work Model,Employment Type,Industry,Company Type,Company Size,Job Description,Salary
0,Data Entry Officer,Randstad - Business Support,"Broadmeadow, Newcastle, Maitland & Hunter NSW",missing,Contract/Temp,Data Entry & Word Processing (Administration & Office Support),missing,missing,"Randstad, in collaboration with the NSW Electoral Commission, is seeking a proficient Data Entry Officer to join our team for the Local Government Elections 2024.
About the role:
We are currently seeking detail-oriented and motivated individuals to join our team as Data Entry Officers. The Data Entry Officers will play a crucial role in accurately entering preferences from ballot papers into the NSWEC computerised vote counting program and assisting in the reconciliation of data entry ballot papers under the authorisation of the Data Entry Supervisor.

Responsibilities:
Perform precise and timely data entry of preferences from ballot papers into the NSWEC computerised vote counting program.
Ensure accuracy and reliability in entering data to maintain the integrity of the voting process.
Assist in the reconciliation of data entry ballot papers as directed and authorised by the Data Entry Supervisor.
Collaborate with team members to identify and resolve discrepancies to ensure data accuracy.
Key Skills:
Demonstrated ability to perform quick and accurate data entry with a high level of attention to detail.
Capacity to maintain focus and precision in repetitive tasks to ensure consistent results.
Strong ability to follow instructions and adhere to established procedures and guidelines.
Willingness to seek clarification and guidance when needed to ensure compliance with requirements.
Good to know:
Dates: 16th September - 28th September
Days: Monday - Saturday
Hours: 8:30am - 5:30pm
Pay: $35.86/hour + super
What else? If you are not selected for a data entry position, we may have other positions available and you will form part of our talent pool.
Essential Criteria:
You must be available to work the entire 2 week period without leave due to the critical nature of the role
You must be an Australian citizen
To work at an election, you need to be on the electoral roll
Political Neutrality*

*The NSW Electoral Commission is dedicated to upholding the integrity of the electoral process and expects all employees to demonstrate professionalism and impartiality. Candidates engaged in political activity cannot be considered for employment.

If you have any further questions, please reach out to our team via nswlocalelections@randstad.com.au or call us on 02 8215 1010.",Up to $35.86 p.h. + super
1,Head of Data Science,Tech & Data People,Sydney NSW,missing,Full time,Management (Information & Communication Technology),missing,missing,"A well known Australian financial services brand with a strong commitment to innovation is looking for a Head of Data Science. They are looking for a Data Science leader to spearhead a new team and who can blend hands-on technical expertise with a knack for driving impactful AI strategies.
 
As the Head of Data Science, you will have a unique opportunity to:
Build and Lead: Establish a new data science function within the organisation, shaping its direction and assembling a high-performing team of data scientists.
Drive AI Innovation: Partner closely with stakeholders across the business to explore and implement cutting-edge AI solutions that drive efficiency, innovation, and growth.
Remain Hands-On: Maintain your technical prowess by actively contributing to data science projects while also guiding and mentoring your team.
Strategic Leadership: Develop and execute a comprehensive data and AI strategy aligned with business objectives, influencing decision-making at the highest levels.
Senior Stakeholder Engagement: Collaborate with senior leadership and key stakeholders to communicate the vision, demonstrate the value of data science initiatives, and secure buy-in across the organisation.
What You Bring:
Technical Expertise: Extensive hands-on experience in data science, machine learning, and AI techniques, with a track record of delivering impactful solutions.
Leadership Skills: Proven ability to lead and mentor a team of data scientists, fostering a culture of innovation, collaboration, and excellence.
Strategic Vision: Strong strategic thinking and the ability to translate complex technical concepts into clear business strategies and outcomes.
Stakeholder Management: Exceptional communication and influencing skills, with a demonstrated ability to engage and build relationships with senior stakeholders.
Entrepreneurial Spirit: A proactive mindset with the ability to thrive in a fast-paced, entrepreneurial environment, driving change and innovation.
Qualifications:
Experience in a leadership role within data science or AI, preferably within a large organisation or a reputable tech-driven company.
Proven experience in building and managing high-performing data science teams.
Proficiency in programming languages such as Python, R, or similar, along with experience with relevant tools and frameworks.
This is an exceptional opportunity for a hands on data science leader to make a significant impact on the future of data within a respected Australian brand.

If you are passionate about data science and ready to drive transformative change, we encourage you to apply.",missing
2,Data Entry | 3 - 4 days | Flexible hours | 4 Mth Contract,RMIT Online,Melbourne VIC,missing,Casual/Vacation,"Data Entry & Word Processing (Administration & Office Support)
Other (Education & Training)",missing,missing,"Work options: Hybrid

Flexible – 3 days per week or reduced hours over 4 days for approximately 4 months.
Must have a current Working With Children Check.
Hybrid environment: spend 2-3 days a week in our Melbourne office.
Why Join Us?
At RMIT Online, we’re passionate about transforming lives through world-class digital learning experiences. Our vibrant and innovative team thrives on collaboration, creativity, and fun. This role offers the flexibility to work in a hybrid environment, spending 2-3 days a week in our Melbourne office, where you’ll learn from experienced marketing professionals and contribute to a high-impact project.
About the Role:
Due to an increased workload, our Product Marketing team require a temporary Data Entry Administrator. You’ll be an essential part of the team, ensuring the accurate and timely entry of data to support the launch of new courses. Your key responsibilities will include:
Collaborating with the Product Marketing Executive and broader Marketing team to complete tasks efficiently.
Entering and verifying course data, ensuring accuracy and adherence to deadlines.
Maintaining quality control by identifying and correcting data errors.
Engaging with stakeholders to apply necessary amendments and respond to queries.
Upholding data governance standards, ensuring all processes meet RMIT Online’s rigorous requirements.
What We’re Looking For:
We’re searching for someone who thrives on precision and efficiency in a fast-paced environment. You should have:
Proven experience in data entry or administrative roles within an office setting.
Proficiency in MS Office, with bonus points for experience with Adobe Acrobat and Salesforce.
Exceptional attention to detail, strong typing skills, and excellent spelling and grammar.
A proactive mindset, eager to learn and adapt to new IT platforms.
You must have:
Current Working With Children Check: Essential for this role.
Right to Work in Australia: Applicants must have the legal right to work in Australia.
Willingness to Undergo a National Police Check: Required as part of our recruitment process.
Work Hours: Flexible – 3 days per week or reduced hours over 4 days for approximately 4 months.
Ready to Make an Impact? Apply now and interview Monday!",$30 per hour + Super
3,Intern - Data Analyst (12 Week Internship based in Cremorne),BARRETT BURSTON MALTING CO. PTY. LTD.,"Cremorne, Melbourne VIC",missing,Contract/Temp,Business/Systems Analysts (Information & Communication Technology),missing,missing,"Together we are empowered to do our best work.
We value our people’s unique contributions, and we work together as part of a high-performing team to deliver for our customers. We’re focused on work-life balance and building a flexible and supportive culture. 
With operations in Australia and New Zealand, we are part of Malteries Soufflet and the InVivo Group, the largest malting company worldwide.
About our team
With roots in the founding families of Australia’s malt industry, Barrett Burston Malting Co. (BBM) has been delivering premium malted barley for customers for more than 150 years. We source top-grade barley from farms across Australia and work directly with brewers & distillers to ensure that our malt matches both the required quality and flavour profile so they can continue to craft the best beers and whisky’s. Our head office and primary malting operations are located in Victoria – home to some of Australia's finest malting barley crops. With operations in Western Australia, Queensland, and New Zealand, we combine tradition and experience with innovation for the brewing and distilling sector.
About the Role:
Barrett Burston Malting’s twelve-week Internship Program is a chance for you to gain experience, build connections and provide on-the-job learning to help develop your skills.  In this role, you will be responsible for gathering and analysing data from various sources to inform business decisions.  The ideal candidate will have a strong background in data analysis, market research, and an understanding of industry trends.
What you'll do: 
As a Data Analyst Intern you will: 
Work in collaboration with cross-functional teams to understand business needs and provide analytical support.
Collect, validate, and analyse data such as market conditions, sales, products, product volume and price points to identify trends and opportunities.   
Data analysis tasks will include summarising data, pattern recognition, and statistical analysis to help generate deeper insights and facilitate the identification of areas for improvement.
Compile findings, develop and design data dashboards, predictive models or apply clustering algorithms to segment data in easy and comprehensible formats.
Must be proficient with Microsoft Excel 
What we offer: 
12-week paid internship program 
Opportunity to contribute work that will have real positive impact on the business. 
Support to develop your skills. 
To be eligible for the Barrett Burston Malting Intern program you must have: 
Full working rights in Australia 
Studying at a Melbourne university 
Be in your Penultimate year and graduating in 2025 
Minimum 'pass' grade.
Hybrid working arrangement (Monday, Tuesday and Thursday in office AND Wednesday and Friday WFH)
Qualifications:
Studying or a recent graduate with a Bachelor’s degree in Data Analytics, Statistics, Mathematics, or a related field.
Strong knowledge of data analysis tools and software (Excel).
Strong analytical and problem-solving skills.
Attention to detail and accuracy in handling data.
Good communication skills and ability to present findings clearly.
Eagerness to learn.
Interested in joining us?
Please apply via SEEK with a cover letter with your motivation for working at BBM as Data Analyst Intern.
Applications not received via SEEK will not be considered.
Please note: candidates will be required to undertake a Criminal History Record Check and provide proof of unrestricted working rights. ",missing
4,Data & AI Engineering Consultant,Global Institute of Artificial Intelligence,Melbourne VIC,missing,Contract/Temp,Consultants (Information & Communication Technology),missing,missing,"Overview:
Global Institute of Artificial Intelligence (GIofAI) is seeking a skilled Data & AI Engineering Consultant for a contract position based in Melbourne, Victoria. This role is designed for professionals who are available to work on weekdays and weekends, and involves delivering high-quality training sessions. The position requires in-depth knowledge of cloud platforms such as AWS, Snowflake, Azure, and Databricks, with relevant certifications highly regarded. As a Consultant, your primary responsibility will be to conduct training, mentoring, and provide hands-on guidance to learners aiming to excel in Data Engineering and AI.
Key Responsibilities:
Training Delivery: Facilitate comprehensive and engaging training sessions on Data Engineering and AI Engineering, with a focus on AWS, Snowflake, Azure, and Databricks platforms.
Curriculum Contribution: Collaborate on the development and refinement of training materials and course content, ensuring alignment with current industry standards and practices.
Learner Mentorship: Offer individualized mentorship to program participants, supporting them through technical challenges and guiding their professional growth.
Practical Application: Lead practical lab sessions and project-based learning activities that enable learners to apply their knowledge in real-world settings.
Assessment and Feedback: Evaluate learner performance through structured assessments, assignments, and projects, providing constructive feedback to enhance their learning experience.
Industry Knowledge: Keep abreast of the latest trends, technologies, and best practices in Data Engineering and AI, integrating this knowledge into training programs.
Team Collaboration: Work closely with other trainers and the GIofAI team to ensure a cohesive and comprehensive educational experience for all learners.
Qualifications:
Educational Background: Bachelor’s or Master’s degree in Computer Science, Data Engineering, Artificial Intelligence, or a closely related field.
Professional Experience: At least 2 years of relevant industry experience in Data Engineering, AI Engineering, or related roles, with practical expertise in AWS, Snowflake, Azure, and Databricks.
Certifications: Relevant certifications in AWS, Azure, Snowflake, and Databricks are highly regarded and demonstrate a commitment to the field.
Training Experience: Prior experience in delivering training or mentoring in a professional or academic environment is highly valued.
Technical Skills: Demonstrated proficiency in cloud platforms, including but not limited to Azure Data Factory, AWS S3, Snowflake, and Databricks.
Communication Skills: Ability to clearly and effectively convey complex technical concepts to a diverse audience.
Availability: Must be available to work on weekends as this is a weekend-only contract position.
Passion for Education: A strong commitment to teaching and the ability to inspire and guide learners towards success in Data and AI fields.
Contract Terms:
Contractual Engagement: This role is offered on a contract basis, with specific hours limited to weekdays and weekends .
Remuneration: Compensation will be determined based on experience and in accordance with the terms of the contract. Contractors will be responsible for their own tax obligations.
Workplace Rights: As a contractor, you will be expected to comply with the agreed-upon terms of the contract. You will have the flexibility to work remotely or on-site as needed, within the parameters of the contract.
Health and Safety: GIofAI is committed to ensuring a safe and healthy work environment in compliance with Victorian occupational health and safety laws, applicable to on-site engagements.
How to Apply:
Candidates interested in this contract position should submit their resume along with a cover letter detailing their experience and suitability for the role. Applications should be sent to hr@giofai.com.au.
Equal Opportunity Employer:
GIofAI is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all contractors. We encourage applications from all individuals, including those who identify as Aboriginal and Torres Strait Islander, people with disabilities, and members of the LGBTQ+ community.",$40 – $50 per hour
5,Senior Data Analyst,Country Fire Authority (CFA),"Burwood, Melbourne VIC",missing,Full time,"Business/Systems Analysts (Information & Communication Technology)
Government - State (Government & Defence)",missing,missing,"The CFA are proud of the work we do, protecting lives and property, 24 hours a day, 7 days a week.
With over 51,000 volunteers CFA strives to be an organisation of choice for volunteers and employees. We, embrace individuals with diverse skills, experience and backgrounds, recognising the unique value they bring to CFA.
Want to read more about the Country Fire Authority (CFA) click here. 
About the Role
The Business Intelligence team transforms data into actionable insights, ensuring CFA's Victorian communities are well-prepared and safe from fire. They support informed decisions by delivering high-quality, accessible data to various stakeholders, including community programs, project leaders, brigades, the media, emergency agencies, the Board and the Minister's Office.
The Senior Data Analyst manages the collection, analysis and presentation of data for key strategic initiatives aligned with CFA's Strategy and Outcomes Framework. This role focuses on data visualisation, corporate reporting or spatial analysis to provide valuable, high-quality data for decision-makers, ensuring outputs align with strategic and product goals.
Key responsibilities of the role will include the following:
Manage the product lifecycle and maintain a central repository for objectives and benefits.
Align service requests with goals and stakeholder needs.
Analyse, innovate and integrate complex data for decision-making.
Maintain expertise in risk management, spatial analysis and road networks.
Ensure data outcomes align with strategic goals and governance.
Monitor trends, validate insights and adapt business plans.
Represent CFA in external analytical communities and build industry partnerships.
Manage vendors to deliver timely services and achieve business objectives.
Provide training for product adoption and improvement.
Develop reports, integrate spatial data and manage the Victorian Fire Risk Registers.
Support fire risk assessment, community safety and apply ISO 31000 in emergency management.
Oversee map presentations, standards and contribute to State Mapping activities.
About You
Our ideal candidate will be able to demonstrate the following:
Relevant qualification with well-developed experience in the methods, techniques and tools for trusted data analyses that benefit the customers of an organisation.
Demonstrated knowledge and experience in the use of the ESRI suite of technologies such as ArcGIS Pro, ArcGIS Enterprise, Web mapping applications such as ArcGIS Online or VertiGIS applications for the collection and presentation of data.
Excellent analytical and problem solving skills with proven ability to optimise delivery outcomes and solve dependencies across stakeholder groups to meet quarterly milestones.
Excellent interpersonal and communication skills, with an ability to manage stakeholder and vendor relationships at senior levels and translate complex technical matters into lay terms.
Demonstrated authority as a trusted specialist that informs proposals, counsels decision makers and aligns stakeholders to product objectives
Why choose CFA
Meaningful Purpose: Your contribution truly makes a difference
Work-Life Balance: Paid parental leave, generous leave provisions
Growth Opportunities: Learning and development
Flexibility: Hybrid work options with flexible work arrangements
Discounts: Emergency Memberlink discounts on various services
Wellbeing Focus: Healthy for Life programs, flu vaccinations
Member Assistance Program: Access support across 8 service pathways
Your Application
Click the 'apply' button to access our online application form. Here you will be asked to provide personal and contact details and respond to employment-related questions.
When applying for a position with CFA, please submit a cover letter and resume that demonstrates your qualifications, experience, key attributes and skills required for the position.
Pre-employment Checks
Offers of employment will only be made to candidates who:
Successfully complete a National Police History Check, Working Rights Check and hold a valid Working with Children Check.
CFA is committed to creating and maintaining a diverse, inclusive, and safe volunteer and work environment. Our aim is to have a volunteer and paid workforce that reflects the community it serves.  First Nations people, women, people of all ages, with disabilities and culturally and linguistically diverse people are encouraged to apply. 
Applications close: 11:59pm 12th September 2024
If at any stage of the recruitment and selection process you require an alternative format to the application material or reasonable adjustment to the interview arrangements, please don't hesitate to contact the person listed on the ad or alternatively, email recruitment@cfa.vic.gov.au
The Country Fire Authority (CFA) values your privacy. We will use the information you provide when you are applying for employment with us for the purpose of recruitment, selection, evaluation and appointment and to report on anonymised key metrics (e.g. diversity). The information we collect will be handled in accordance with privacy laws, including the Privacy and Data Protection Act 2014.   You can view our Privacy Statement here. For access and correction of the information we have collected, contact recruitment@cfa.vic.gov.au
 ",missing
6,Data Delivery Manager,Talenza,Sydney NSW,missing,Full time,Product Management & Development (Information & Communication Technology),missing,missing,"Data Delivery Manager
Sydney, Australia
Permanent
$220,000 + Bonus
Leading bank require a dynamic Data Delivery Manager to join their team and lead the charge in delivering high-impact data solutions across the organisation.
Key Responsibilities:
Leadership & Delivery: Lead and manage the end-to-end delivery of data projects, ensuring alignment with business goals and stakeholder expectations.
Agile Methodologies: Drive agile delivery practices within the team, ensuring timely and efficient delivery of projects.
Data Management: Oversee the development and maintenance of big data platforms, ensuring data quality, integrity, and availability.
Analytics & Reporting: Work closely with analytics and reporting teams to ensure that data solutions support strategic decision-making.
Stakeholder Engagement: Serve as a key point of contact for stakeholders, delivering presentations, and communicating complex data concepts in an understandable manner.
Technical Expertise: Utilize your deep understanding of SQL and other data management tools to guide and mentor the team.
Continuous Improvement: Foster a culture of continuous improvement, staying updated on the latest trends and best practices in data management and agile delivery.
Key Requirements:
Experience: Proven experience in a data delivery role within a large organization, preferably in financial services.
Agile Methodologies: Strong experience working in Agile environments with a focus on delivering data-driven solutions.
Technical Skills: Proficiency in SQL and a solid understanding of big data technologies and platforms.
Communication: Excellent presentation skills with the ability to convey complex data concepts to non-technical stakeholders.
Leadership: Demonstrated experience in leading and mentoring a team, with a focus on collaboration and results.
Analytical Mindset: Strong analytical and problem-solving skills, with the ability to make data-driven decisions.
If you feel you possess the relevant skills to the above, please apply with most updated CV!",$200k - $220k p.a.
7,Data and Analytics Manager,TasWater,"Devonport, Devonport & North West TAS",missing,Full time,Management (Information & Communication Technology),missing,missing,"Our Business
TasWater is undergoing a comprehensive digital and technology modernisation program designed to uplift our digital capability and harness the power of data-driven insights. This transformation journey is essential for enhancing our operational efficiency, improving customer experiences, and staying at the cutting edge of today's fast-paced digital landscape. 
As we integrate and develop advanced technologies such as artificial intelligence, machine learning, data analytics, and IoT into our operations, we are expanding our team with a number of new and exciting roles. 
Over the coming 5 years we’re investing $1.5 billion to ensure a safe and secure water future for a growing Tasmania, and will we make great steps towards our aspirations of net zero carbon emissions and towards zero waste. Visit our website or YouTube channel to learn more. 

The Role
The key responsibilities in this role include: 
Develop and implement the Data Strategy and Data Governance Framework to drive better decision-making. 
Lead and manage a team of specialists in data and analytics to ensure business value is maximized. 
Oversee the continuous improvement of the data and analytics function, aligning with industry best practices. 
Manage project life cycles, identifying and mitigating risks to ensure successful project outcomes. 
Maintain strong knowledge of the water industry and regulatory frameworks impacting data and analytics. 
What we're looking for
To be successful we’re looking for the following experience: 
Proven experience in a leadership role overseeing a technical team within a complex organisation. 
Strong technical ICT and project management skills with a focus on data and analytics. 
Excellent interpersonal and communication skills to effectively engage and influence stakeholders. 
Extensive experience in data and people management, with a focus on delivering business outcomes in line with a corporate strategy. 
Please visit our website to view the Position Description.  
Why TasWater
Embracing digital in the water industry is essential for a sustainable future. Embracing AI, ML, IoT, and big data revolutionises water management, ensuring efficient use, reducing waste, and enhancing service quality. This innovation protects our precious resources, meets environmental standards, and builds resilience against climate change, securing clean water for generations to come.  
We are continuing to build an inclusive workplace and workforce that truly represents the Tasmanian community that we serve. We value diversity in all its many forms and welcome a range of perspectives and identities to enrich the way we work and what we do. 
We take pride in being acknowledged as an employer of choice for women by WORK180. Visit the Work180 website to view our benefits and policies, such as 18 weeks paid parental leave for all parents regardless of tenure and with full superannuation contributions. We’re continuing to work on future benefits through a dedicated Employee Experience team. 
The Details
This role can be based in either Hobart, Launceston, or Devonport and attracts a salary of Circa $180,000 (inclusive of superannuation), negotiable dependent on experience.  
If you want to learn more about this role or need assistance in applying, please contact Jon Ettershank – Head of Digital and Technology on 0414 834 834.  
Applications close 11am on Monday 16th September. Please note a cover letter is optional. ","$180,000 per year (incl. superannuation)"
8,Data and Analytics Manager,TasWater,Hobart TAS,missing,Full time,Management (Information & Communication Technology),missing,missing,"Our Business
TasWater is undergoing a comprehensive digital and technology modernisation program designed to uplift our digital capability and harness the power of data-driven insights. This transformation journey is essential for enhancing our operational efficiency, improving customer experiences, and staying at the cutting edge of today's fast-paced digital landscape. 
As we integrate and develop advanced technologies such as artificial intelligence, machine learning, data analytics, and IoT into our operations, we are expanding our team with a number of new and exciting roles. 
Over the coming 5 years we’re investing $1.5 billion to ensure a safe and secure water future for a growing Tasmania, and will we make great steps towards our aspirations of net zero carbon emissions and towards zero waste. Visit our website or YouTube channel to learn more. 

The Role
The key responsibilities in this role include: 
Develop and implement the Data Strategy and Data Governance Framework to drive better decision-making. 
Lead and manage a team of specialists in data and analytics to ensure business value is maximized. 
Oversee the continuous improvement of the data and analytics function, aligning with industry best practices. 
Manage project life cycles, identifying and mitigating risks to ensure successful project outcomes. 
Maintain strong knowledge of the water industry and regulatory frameworks impacting data and analytics. 
What we're looking for
To be successful we’re looking for the following experience: 
Proven experience in a leadership role overseeing a technical team within a complex organisation. 
Strong technical ICT and project management skills with a focus on data and analytics. 
Excellent interpersonal and communication skills to effectively engage and influence stakeholders. 
Extensive experience in data and people management, with a focus on delivering business outcomes in line with a corporate strategy. 
Please visit our website to view the Position Description.  
Why TasWater
Embracing digital in the water industry is essential for a sustainable future. Embracing AI, ML, IoT, and big data revolutionises water management, ensuring efficient use, reducing waste, and enhancing service quality. This innovation protects our precious resources, meets environmental standards, and builds resilience against climate change, securing clean water for generations to come.  
We are continuing to build an inclusive workplace and workforce that truly represents the Tasmanian community that we serve. We value diversity in all its many forms and welcome a range of perspectives and identities to enrich the way we work and what we do. 
We take pride in being acknowledged as an employer of choice for women by WORK180. Visit the Work180 website to view our benefits and policies, such as 18 weeks paid parental leave for all parents regardless of tenure and with full superannuation contributions. We’re continuing to work on future benefits through a dedicated Employee Experience team. 
The Details
This role can be based in either Hobart, Launceston, or Devonport and attracts a salary of Circa $180,000 (inclusive of superannuation), negotiable dependent on experience.  
If you want to learn more about this role or need assistance in applying, please contact Jon Ettershank – Head of Digital and Technology on 0414 834 834.  
Applications close 11am on Monday 16th September. Please note a cover letter is optional. ","$180,000 per year (incl. superannuation)"
9,Data and Analytics Manager,TasWater,"Launceston, Launceston & North East TAS",missing,Full time,Management (Information & Communication Technology),missing,missing,"Our Business
TasWater is undergoing a comprehensive digital and technology modernisation program designed to uplift our digital capability and harness the power of data-driven insights. This transformation journey is essential for enhancing our operational efficiency, improving customer experiences, and staying at the cutting edge of today's fast-paced digital landscape. 
As we integrate and develop advanced technologies such as artificial intelligence, machine learning, data analytics, and IoT into our operations, we are expanding our team with a number of new and exciting roles. 
Over the coming 5 years we’re investing $1.5 billion to ensure a safe and secure water future for a growing Tasmania, and will we make great steps towards our aspirations of net zero carbon emissions and towards zero waste. Visit our website or YouTube channel to learn more. 

The Role
The key responsibilities in this role include: 
Develop and implement the Data Strategy and Data Governance Framework to drive better decision-making. 
Lead and manage a team of specialists in data and analytics to ensure business value is maximized. 
Oversee the continuous improvement of the data and analytics function, aligning with industry best practices. 
Manage project life cycles, identifying and mitigating risks to ensure successful project outcomes. 
Maintain strong knowledge of the water industry and regulatory frameworks impacting data and analytics. 
What we're looking for
To be successful we’re looking for the following experience: 
Proven experience in a leadership role overseeing a technical team within a complex organisation. 
Strong technical ICT and project management skills with a focus on data and analytics. 
Excellent interpersonal and communication skills to effectively engage and influence stakeholders. 
Extensive experience in data and people management, with a focus on delivering business outcomes in line with a corporate strategy. 
Please visit our website to view the Position Description.  
Why TasWater
Embracing digital in the water industry is essential for a sustainable future. Embracing AI, ML, IoT, and big data revolutionises water management, ensuring efficient use, reducing waste, and enhancing service quality. This innovation protects our precious resources, meets environmental standards, and builds resilience against climate change, securing clean water for generations to come.  
We are continuing to build an inclusive workplace and workforce that truly represents the Tasmanian community that we serve. We value diversity in all its many forms and welcome a range of perspectives and identities to enrich the way we work and what we do. 
We take pride in being acknowledged as an employer of choice for women by WORK180. Visit the Work180 website to view our benefits and policies, such as 18 weeks paid parental leave for all parents regardless of tenure and with full superannuation contributions. We’re continuing to work on future benefits through a dedicated Employee Experience team. 
The Details
This role can be based in either Hobart, Launceston, or Devonport and attracts a salary of Circa $180,000 (inclusive of superannuation), negotiable dependent on experience.  
If you want to learn more about this role or need assistance in applying, please contact Jon Ettershank – Head of Digital and Technology on 0414 834 834.  
Applications close 11am on Monday 16th September. Please note a cover letter is optional. ","$180,000 per year (incl. superannuation)"
